trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing	rdrop_warmup_epochs
0	COMPLETE	0.8552866	0.00012028100254063813	0.22873408594703554	0.9988436337588507	0.04179532731987587	10
1	COMPLETE	0.85517	0.00011377099491039577	0.24251050685487965	0.9987402083846914	0.04272178244375729	2
2	COMPLETE	0.8546403999999999	0.0001299303228150511	0.25660218668442747	0.9993700451418451	0.051966342568668944	3
3	COMPLETE	0.8550829999999999	0.0001374176803385604	0.1939326979150129	0.9985802885527629	0.03058222448418508	2
4	COMPLETE	0.8547293999999999	0.00012286957203953494	0.21104811943745627	0.999321195205499	0.047272811964139336	5
5	COMPLETE	0.8549726	0.00012531382737223146	0.13786886099329138	0.9981803866343257	0.03261713403696735	7
6	PRUNED	0.830664259485242	0.00010728098443970605	0.12903571321929933	0.9989141293240238	0.030131664101591283	10
7	PRUNED	0.854429603873779	0.00010475925547874892	0.13538482510240962	0.9985159868443957	0.0528397291939174	7
8	PRUNED	0.8283434468386242	0.00013890957390350306	0.2088721935541083	0.9990347798462184	0.021567511690172826	10
9	PRUNED	0.8296111176119869	0.00011495700424248652	0.11154654934278119	0.9989692519812464	0.042664058168263005	10
10	PRUNED	0.8548879156149178	0.00011131452956680162	0.22013386839346272	0.9981844047420564	0.04865308816474262	10
11	PRUNED	0.8535143734363071	0.00010015811460718866	0.22200697662332144	0.9983778177701984	0.04940776088490379	2
12	COMPLETE	0.8548804000000001	0.00010779496622371648	0.2714948220730573	0.998625732960491	0.05385634689884511	10
13	PRUNED	0.8285969809932967	0.00012160187265430387	0.2587123651338735	0.9989693352627012	0.04901017119278561	3
14	PRUNED	0.8294885296690682	0.00010064788760667447	0.1542834670014189	0.9989240227922491	0.03160310428841776	2
15	PRUNED	0.8544309969185848	0.00010922241022675172	0.24070140765283554	0.9983191514589497	0.03123276034612469	2
16	PRUNED	0.8255768598541203	0.00010426853635139571	0.239898544332483	0.9993164468604697	0.03551633921472065	2
17	COMPLETE	0.8549749999999999	0.00013366751622341514	0.23955419100384945	0.9983986289602486	0.054016019085627934	2
18	PRUNED	0.8483517493856673	0.00011595075196441473	0.21028228470783455	0.9987154628063792	0.03845208839473211	10
19	COMPLETE	0.8550938	0.00011523368570311756	0.22465817332712418	0.9986329889535119	0.04759779868786687	2
20	PRUNED	0.8311699347497813	0.00013297603011188516	0.2695758780949076	0.9987598754546919	0.03623455339056614	10
21	PRUNED	0.8308934153558115	0.00011883881639502189	0.2541888589747174	0.9987279830190641	0.04710679287584221	2
22	PRUNED	0.8554451335372751	0.00011262627169507267	0.2448049047985734	0.9984549160563096	0.04219875487457359	5
23	PRUNED	0.8311908304218696	0.00011138549061474994	0.27357129073394426	0.9987854745471844	0.03445823734617601	3
24	PRUNED	0.8308049570106373	0.00011185976523084519	0.19397703584881354	0.9987762693349999	0.05287638025827076	3
25	PRUNED	0.8313566027537709	0.00012053380410592354	0.17782004184707795	0.9986526958972833	0.04838665182536068	2
26	PRUNED	0.8286192697101908	0.00012408999313144324	0.2143816522501978	0.9989692155998741	0.032164133480470314	2
27	PRUNED	0.8290817605857473	0.00011025986314462445	0.22782515513232696	0.9989384815767045	0.043760071722864294	2
28	PRUNED	0.8268124905969476	0.00011940785207812334	0.24413067597348415	0.9992124436900233	0.042347518678961076	10
29	PRUNED	0.8294355939664442	0.00012661537536260686	0.22195376359950342	0.9989226889681566	0.04319539637392047	7
