trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing	adamw_wd
0	RUNNING		0.00011469695213150977	0.2430378732744839	0.9988436337588507	0.027244159149844845	0.0026524963767594755
1	COMPLETE	0.8554824	0.00011469695213150977	0.2430378732744839	0.9988436337588507	0.027244159149844845	0.0026524963767594755
2	COMPLETE	0.8547808	0.00011972373065338478	0.1875174422525385	0.999248387476987	0.04818313802505147	0.0024179177243329477
3	COMPLETE	0.8553504000000001	0.00012769182234313286	0.2057789839505809	0.9987950216022989	0.04627983191463306	0.0011777037507521714
4	COMPLETE	0.8536002	9.353224551157067e-05	0.10404367948806514	0.9991655310079542	0.038907837547492524	0.007413309777968014
5	COMPLETE	0.8551632	0.00013868363139622668	0.2598317128433447	0.9986458272486546	0.039026458814322776	0.0013130293256147136
6	PRUNED	0.8258276079191811	0.00011940818341507826	0.12867065748180928	0.9993224851823629	0.026092416087503584	0.0025981363554663417
7	PRUNED	0.8525253116241231	0.00010115955315253883	0.2548467378868433	0.9986383670379367	0.028421697443432425	0.0010442146944938347
8	PRUNED	0.8301850520720149	0.00011823820332240023	0.22241914454448428	0.9988634756815411	0.04718740392573121	0.004806404295331634
9	PRUNED	0.8303090330597394	0.00010549378439642633	0.18740639075986829	0.998976476662994	0.003011273581463492	0.004642658243447122
10	PRUNED	0.8549708017808684	0.00012103980349972111	0.1420765122147682	0.9981803866343257	0.015771417546209195	0.002310525526558112
11	PRUNED	0.8260309924608416	0.00011578572431555945	0.18772030269246406	0.9993837120948749	0.005102240537401404	0.0016176209247179786
12	PRUNED	0.8531424304731337	9.664857857231663e-05	0.2306216650930797	0.9983544226713874	0.023315538642815315	0.0017556000801557709
13	PRUNED	0.8332372132417266	9.65487091473424e-05	0.12207502823286104	0.9989186400714777	0.00690914756743069	0.0015724699749049722
14	PRUNED	0.8544323899633908	0.00010592428297548192	0.264198645969587	0.998135855771288	0.0418972453749402	0.0012476661940792183
15	PRUNED	0.8237268963518942	0.00013855140932904808	0.1937302403295403	0.9993674432446572	0.0302422759872523	0.005486098228809555
16	PRUNED	0.8555621493009701	0.00011534061679616407	0.15315823663731412	0.998449846212755	0.041451170934282675	0.0017770833764808962
17	PRUNED	0.8550773697085192	0.0001163465867437314	0.29553040023932475	0.9983061009597518	0.019764186755027356	0.004258737870088262
18	COMPLETE	0.8550586000000001	0.0001364061782643048	0.1229054677198966	0.9986745344823897	0.04809627729226972	0.0010843555520306614
19	PRUNED	0.8277165766759722	0.00011033444466667172	0.26036301865348155	0.9991716365993561	0.03641834007708896	0.0021189716428035143
20	PRUNED	0.8553810534762042	0.00012170617110751396	0.22063137188849527	0.9986818673507456	0.018590199885131387	0.0031554524734883176
21	PRUNED	0.8269587603015663	0.00012710692123047468	0.2680556216641945	0.999101407669622	0.04908652625206344	0.0012472032945094775
22	COMPLETE	0.8552388000000001	0.00013325832494128124	0.2511919618779809	0.9984365789711254	0.04206868209110303	0.00109253756711545
23	PRUNED	0.8561736959707571	0.00012767774539560337	0.229411926241147	0.9980894160717613	0.03619511317420036	0.001571127999971367
24	PRUNED	0.8274839381933881	0.00013491829517584604	0.18708717043369563	0.9989945094522368	0.049401524847046935	0.0013296065111467654
25	PRUNED	0.8554277204772014	0.00011798990079972207	0.2360548768149341	0.9986529760357691	0.04692994688725796	0.0016299034505513183
26	PRUNED	0.8560288193109443	0.00013995760824932283	0.17943120593039902	0.998453326286107	0.04053109362313485	0.001983412778487879
27	PRUNED	0.8341454784551691	9.778101969035939e-05	0.20226277916552157	0.9988154726262666	0.025433502106594192	0.004516274393758853
28	PRUNED	0.854532689189415	0.00010897233178844977	0.11727536793283272	0.9982121166713389	0.04775572664886547	0.009371323976024094
29	PRUNED	0.8554472231044841	0.0001376073579006393	0.19698575544483307	0.9985441207527803	0.01976200975767309	0.0010207275906712126
