trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing	mod_drop_p
0	COMPLETE	0.8549051999999999	0.00012028100254063813	0.22873408594703554	0.9988436337588507	0.04179532731987587	0.11354821990083572
1	COMPLETE	0.8551844	0.00012427484724764767	0.17876569802728465	0.999248387476987	0.058546510420041165	0.10751622782386666
2	COMPLETE	0.8548401999999999	0.00013052485655886854	0.19520108555552282	0.9987950216022989	0.057023865531706436	0.060655408729683044
3	COMPLETE	0.8538522000000001	0.0001029750551958264	0.10363931153925864	0.9991655310079542	0.05112627003799401	0.18050182223702288
4	COMPLETE	0.8552555999999999	0.0001389964076285353	0.24384854155901026	0.9986458272486546	0.05122116705145821	0.06774116388033999
5	PRUNED	0.8251464090090994	0.00012402533302096453	0.12580359173362837	0.9993224851823629	0.04087393287000286	0.11219929099857856
6	PRUNED	0.8546134857881569	0.00010930977287568682	0.23936206409815902	0.9986383670379367	0.04273735795474594	0.052818470065453274
7	PRUNED	0.8287530020115567	0.0001230988120803248	0.21017723009003586	0.9988634756815411	0.057749923140584955	0.1522730448655225
8	PRUNED	0.8293018616650785	0.00011285847649465166	0.1786657516838815	0.998976476662994	0.022409018865170792	0.15001500731685016
9	COMPLETE	0.8552959999999998	0.00012531382737223146	0.13786886099329138	0.9981803866343257	0.03261713403696735	0.1045566156413934
10	PRUNED	0.8256910895282035	0.00012114953010637129	0.17894827242321767	0.9993837120948749	0.024081792429921124	0.0813315134142252
11	PRUNED	0.855340655176833	0.00010557761401014771	0.21755949858377174	0.9983544226713874	0.038652430914252245	0.08666383880024042
12	PRUNED	0.8340758262148744	0.00010549452305016053	0.11986752540957493	0.9989186400714777	0.02552731805394455	0.07948735425200804
13	PRUNED	0.8543376629165901	0.00011320903407023876	0.24777878137262835	0.998135855771288	0.05351779629995215	0.06441476118409446
14	PRUNED	0.8208662788429927	0.00013889547698832573	0.1843572162965863	0.9993674432446572	0.04419382078980184	0.16088953690974528
15	COMPLETE	0.855011	0.0001288213841250661	0.15610578495666363	0.9983983399372918	0.027992998017359175	0.10154965734293056
16	PRUNED	0.8552097089650792	0.00013191904356096778	0.12504888606350517	0.9980815342543969	0.03963367021010588	0.13745542395268162
17	PRUNED	0.8555705075698055	0.00013935660231597226	0.27188522555649924	0.998551824581572	0.04903698773220906	0.08242602480453551
18	PRUNED	0.8291876319909954	0.00012669789919276216	0.24504108614151998	0.9990401095545451	0.04022523523359224	0.055823439406460854
19	COMPLETE	0.8551534000000001	0.00012171406543164363	0.1119850513650642	0.9984300829399714	0.048130148178061785	0.10394756585372096
20	COMPLETE	0.8550922	0.0001354310873870377	0.19233770416649335	0.9980062395774687	0.04726802581847161	0.09815033374923396
21	PRUNED	0.8261897995687133	0.00012037962270723537	0.13717075359730058	0.9991106596672005	0.058425769324112975	0.14223435677682947
22	PRUNED	0.8271705031120622	0.00013727055395301916	0.12801340532658267	0.9990568139210929	0.0547882085868585	0.08443363307970154
23	PRUNED	0.8237979416369947	0.00012728514286318662	0.15663442344597117	0.999360103404981	0.05778325249566999	0.0927611595911799
24	PRUNED	0.8547527902687462	0.00011400710133325481	0.13005482821050943	0.9980276393280438	0.030439633629867246	0.09075320823831232
25	PRUNED	0.8258791505769992	0.00013977588309139439	0.2635738031964337	0.9991165689947381	0.050738520696844897	0.09679400326739734
26	PRUNED	0.8261549734485659	0.00011780584570369615	0.20551570806847147	0.9992829804630905	0.05440280006932339	0.08414673273085996
27	COMPLETE	0.8546570000000001	0.00013345261349000695	0.22115964835485571	0.9984249965079552	0.05937318682446119	0.11693786789653371
28	PRUNED	0.8556401598101	0.00012774439371069442	0.10063529938445377	0.998279909071855	0.024134456519095706	0.1165772751790694
29	PRUNED	0.8311378947192457	0.00010159960938386604	0.14053733232326604	0.9987914201080347	0.0586285679619156	0.08839744885987907
