trial	state	mean_val_auc	lr	lr_schedule	lr_min_ratio	ema_decay	label_smoothing
0	COMPLETE	0.853322	0.00010240174719897234	constant	0.16346495489906906	0.9987198599402041	0.032294705653332804
1	COMPLETE	0.8520010000000001	9.480361901397141e-05	cosine	0.1150324556477333	0.9993456939754343	0.026444745987645225
2	COMPLETE	0.852975	0.00010377589600395593	constant	0.02613878991046221	0.9980343426255937	0.0416309922773969
3	COMPLETE	0.854093	0.00012004568756172512	cosine	0.23974756926501706	0.9987841554043224	0.039026458814322776
4	COMPLETE	0.8518908	7.598050748072155e-05	constant	0.28340067511487516	0.9988867811670834	0.02073309699952618
5	PRUNED	0.8512729643436252	8.408861797843168e-05	constant	0.17053018466059455	0.9980319159962495	0.030881774853793856
6	COMPLETE	0.8537355999999999	0.00010699345522687454	cosine	0.20454608973104502	0.9986108303458389	0.021851597689967073
7	COMPLETE	0.8535302	0.00011352877608514319	cosine	0.2011913608854478	0.9983574100709799	0.006446314882742665
8	PRUNED	0.8226194257312092	8.710667475510384e-05	cosine	0.1315804540386961	0.9996802188964871	0.005102240537401404
9	PRUNED	0.8305284376166675	8.090515774623335e-05	cosine	0.07598748076193464	0.9987923682966668	0.012221279600080138
10	PRUNED	0.8477464714175066	7.81542595943464e-05	cosine	0.04145488540458414	0.9983339615713547	0.018436258533048207
11	PRUNED	0.8216846926664548	0.0001236635268887497	cosine	0.02882952236818892	0.9996599478279683	0.02343256008238508
12	COMPLETE	0.8531204000000001	0.00013776294750726017	cosine	0.011756337676296202	0.9984804784497606	0.006009828060658445
13	PRUNED	0.8510236093233703	8.594984986124781e-05	cosine	0.12427889835440098	0.9981089639182738	0.034623605968500996
14	PRUNED	0.829361762591732	0.00010367214238329487	cosine	0.0281821532275325	0.9989787557054103	0.04646480987881071
15	COMPLETE	0.8532322000000001	0.00012369755320439164	cosine	0.2309870454110676	0.9984554529163004	0.037988001936004906
16	PRUNED	0.8315739177434902	9.279224386844181e-05	cosine	0.27693720484262807	0.9987461189184484	0.027270581642161847
17	PRUNED	0.8245376484289241	0.00010309347217428572	cosine	0.24407938477791646	0.9994556062873658	0.03798303276348457
18	PRUNED	0.8304135114201814	0.00012044029965788713	cosine	0.2845773590673833	0.9988903884750915	0.026465767855898704
19	PRUNED	0.8312688409309997	0.00010680535976588922	cosine	0.1686336116114223	0.9988398895297889	0.019279034264948744
20	PRUNED	0.8285064330809137	0.00012575972915489364	cosine	0.1369394835092253	0.9989777919282767	0.049127737063549455
21	PRUNED	0.8541802488535242	0.00010744971212962278	cosine	0.1478004081527593	0.9981739859891873	0.007921103275603244
22	PRUNED	0.8218295693262677	0.0001398443812068892	cosine	0.25418271645734275	0.9994335477680156	0.04753897710426995
23	PRUNED	0.8509163448733165	8.809353046597556e-05	cosine	0.24951722477152982	0.9981257180021453	0.009997053524182929
24	COMPLETE	0.8534957999999999	0.00011886280488964364	cosine	0.22022443776422676	0.9984562213805892	0.00682035082694741
25	PRUNED	0.8308620718476789	0.0001270813947369839	constant	0.15982606785187514	0.9988855910102873	0.008382402848979119
26	PRUNED	0.8299593788134602	9.571156310233606e-05	cosine	0.26101075728843565	0.9989789967468159	0.0034673867268062795
27	PRUNED	0.8324334263887264	0.00012502249063090564	constant	0.28280104976825016	0.9986346766871061	0.03488972301301628
28	PRUNED	0.8307798822041311	0.00010144828632224851	cosine	0.2252354036485004	0.9988183902424405	0.04796629767251041
29	PRUNED	0.8527899901372428	0.0001026739069197363	constant	0.20581993241673385	0.9983185063181526	0.01566648625982452
