trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing	head_dropout
0	COMPLETE	0.8553746	0.00012028100254063813	0.22873408594703554	0.9988436337588507	0.036346495489906906	0.11354821990083572
1	COMPLETE	0.8548389999999999	0.00012427484724764767	0.17876569802728465	0.999248387476987	0.04890988281503088	0.10751622782386666
2	COMPLETE	0.8551065999999998	0.00013052485655886854	0.19520108555552282	0.9987950216022989	0.04776789914877984	0.060655408729683044
3	COMPLETE	0.8540822	0.0001029750551958264	0.10363931153925864	0.9991655310079542	0.04334470252849552	0.18050182223702288
4	COMPLETE	0.8546604	0.0001389964076285353	0.24384854155901026	0.9986458272486546	0.04341587528859367	0.06774116388033999
5	PRUNED	0.8248051130316556	0.00012402533302096453	0.12580359173362837	0.9993224851823629	0.035655449652502155	0.11219929099857856
6	PRUNED	0.8533757654781209	0.00010930977287568682	0.23936206409815902	0.9986383670379367	0.03705301846605946	0.052818470065453274
7	PRUNED	0.8295024601171271	0.0001230988120803248	0.21017723009003586	0.9988634756815411	0.04831244235543873	0.1522730448655225
8	PRUNED	0.8296069384775693	0.00011285847649465166	0.1786657516838815	0.998976476662994	0.021806764148878097	0.15001500731685016
9	COMPLETE	0.8550039999999999	0.00012531382737223146	0.13786886099329138	0.9981803866343257	0.029462850527725515	0.1045566156413934
10	PRUNED	0.8252884995793006	0.00012114953010637129	0.17894827242321767	0.9993837120948749	0.023061344322440842	0.0813315134142252
11	PRUNED	0.8542283088993273	0.00010557761401014771	0.21755949858377174	0.9983544226713874	0.03398932318568919	0.08666383880024042
12	PRUNED	0.8335415935318143	0.00010549452305016053	0.11986752540957493	0.9989186400714777	0.024145488540458414	0.07948735425200804
13	PRUNED	0.8542930854828015	0.00011320903407023876	0.24777878137262835	0.998135855771288	0.04513834722496412	0.06441476118409446
14	PRUNED	0.822806093735199	0.00013889547698832573	0.1843572162965863	0.9993674432446572	0.03814536559235138	0.16088953690974528
15	PRUNED	0.8302533112675037	0.00012942330468296482	0.17077725903465413	0.9988385955520965	0.04284209571583747	0.06471473220680062
16	PRUNED	0.8297406707789349	0.00012960509961126	0.23748170340788827	0.9988770407110937	0.031673177498890925	0.11793843692229172
17	PRUNED	0.8545055248157001	0.00013725470312300373	0.12061492094790695	0.9983391459187906	0.048857766375361836	0.07179909039304534
18	PRUNED	0.8249026261680681	0.00012176593787374649	0.26527348428562936	0.9993137978347431	0.04617328710145406	0.091855369844456
19	PRUNED	0.8278140898123848	0.00011326340112531684	0.23923936795706685	0.9991270636902486	0.03303359068414988	0.14765605400082457
20	COMPLETE	0.8550715999999999	0.0001205539974260236	0.24473827366070225	0.9985746203653765	0.04275601088064168	0.10188158297768714
21	PRUNED	0.8543724890367373	0.00011642078166376849	0.23542790628632365	0.9982691207772347	0.03677500011542451	0.1415063380870109
22	COMPLETE	0.8549880000000002	0.0001222909966830503	0.2364723128642606	0.9986351688730605	0.041821100097555575	0.11564293154191477
23	PRUNED	0.8304761984364466	0.00013611308635991343	0.1783784533903261	0.998706125290343	0.04964091490822817	0.09242049312683658
24	PRUNED	0.8235325666014722	0.00013950867329479808	0.1958715115576482	0.9993733754723944	0.04084894426507854	0.06251591154436012
25	PRUNED	0.8484186155363502	0.00011374053193441265	0.21332790677592017	0.9986816922366059	0.049457244266959834	0.05783144786911397
26	PRUNED	0.8310529189860861	0.00010650302793820173	0.20014203293444469	0.9987786706190932	0.0428459440049564	0.11131794346561713
27	PRUNED	0.8551553802176493	0.00012247364155367746	0.2710591312374772	0.9982197245452301	0.04890599623103135	0.12685774111137518
28	PRUNED	0.8545682118319653	0.0001381741738608508	0.1872871799003498	0.9982605062031891	0.03185720585460386	0.05915997364906111
29	PRUNED	0.8547722928960286	0.000139465849433144	0.27646658943850577	0.9980001121422964	0.03631432862965187	0.17177531144221875
