trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing	adamw_wd
0	COMPLETE	0.8554026	0.00012028100254063813	0.22873408594703554	0.9988436337588507	0.036346495489906906	0.0014648346471360485
1	COMPLETE	0.854881	0.00012427484724764767	0.17876569802728465	0.999248387476987	0.04890988281503088	0.0013656791540561384
2	COMPLETE	0.8551484	0.00013052485655886854	0.19520108555552282	0.9987950216022989	0.04776789914877984	0.0007922634726931308
3	COMPLETE	0.8542664	0.0001029750551958264	0.10363931153925864	0.9991655310079542	0.04334470252849552	0.0031890705971275354
4	COMPLETE	0.855221	0.0001389964076285353	0.24384854155901026	0.9986458272486546	0.04341587528859367	0.0008602551479482259
5	PRUNED	0.8251046176649226	0.00012402533302096453	0.12580359173362837	0.9993224851823629	0.035655449652502155	0.0014420534279233148
6	PRUNED	0.8541788558087183	0.00010930977287568682	0.23936206409815902	0.9986383670379367	0.03705301846605946	0.000723304561575932
7	PRUNED	0.8299001744092097	0.0001230988120803248	0.21017723009003586	0.9988634756815411	0.04831244235543873	0.0022972595417985555
8	PRUNED	0.8299538066342366	0.00011285847649465166	0.1786657516838815	0.998976476662994	0.021806764148878097	0.00223776807650319
9	PRUNED	0.8558087182316132	0.00012531382737223146	0.13786886099329138	0.9981803866343257	0.029462850527725515	0.0013195117287870789
10	PRUNED	0.825136657695458	0.00012114953010637129	0.17894827242321767	0.9993837120948749	0.023061344322440842	0.0010074182100734278
11	PRUNED	0.8546434362514836	0.00010557761401014771	0.21755949858377174	0.9983544226713874	0.03398932318568919	0.0010718127354307316
12	PRUNED	0.8332929350339624	0.00010549452305016053	0.11986752540957493	0.9989186400714777	0.024145488540458414	0.0009860601505609814
13	PRUNED	0.8552445350852265	0.00011320903407023876	0.24777878137262835	0.998135855771288	0.04513834722496412	0.0008276388686470075
14	PRUNED	0.8233089829101263	0.00013889547698832573	0.1843572162965863	0.9993674432446572	0.03814536559235138	0.0025391738781404367
15	COMPLETE	0.8551244	0.0001373222177455601	0.2748399952661177	0.9987122317802806	0.045297250604999964	0.0007841234704187832
16	PRUNED	0.8278057315435494	0.0001333871667740154	0.2636473582335559	0.9990678666940184	0.028261499208369303	0.001133472123756074
17	PRUNED	0.8556429458997119	0.0001379362619379535	0.21051452356522352	0.9984386760962115	0.030016292538747644	0.001198240373491247
18	PRUNED	0.8560511080278386	0.00012511041799301246	0.2762176845967429	0.9983948160855617	0.038532266916786934	0.001537167793530296
19	PRUNED	0.8302519182226976	0.00011326340112531684	0.23923936795706685	0.9989112335553594	0.03303359068414988	0.0028481974548169374
20	PRUNED	0.8278001593643258	0.00013778110313498432	0.25316211320468995	0.9989883695339574	0.03961721288772115	0.00156958061971363
21	PRUNED	0.8286624540991736	0.00013426472760718646	0.17381143696472273	0.998901091899783	0.04781487984825135	0.0007295909792869911
22	PRUNED	0.856188322941219	0.0001274267560336995	0.17434741414799612	0.9981751895971301	0.04704566934237573	0.0009484171035017757
23	PRUNED	0.8266940817884467	0.00012045456749468775	0.23326466233788673	0.9991941373182771	0.042489220678801155	0.0008977063602540341
24	PRUNED	0.8286805636816501	0.00012093493180166892	0.20704021647200574	0.9990320742700669	0.03687890434947221	0.001510035046449464
25	COMPLETE	0.8550245999999999	0.0001399788043203441	0.17836764601705823	0.9986440840318292	0.0431487116443342	0.0012900246713978773
26	COMPLETE	0.8550717999999999	0.00012634993606763862	0.20978046494539618	0.9986148639857884	0.04494566097677655	0.0007579731187941462
27	PRUNED	0.8552584655332853	0.00011568146215146714	0.11554783113954947	0.9982121166713389	0.04865343598931928	0.0038081529678643394
28	PRUNED	0.8297239542412642	0.00013840774352612674	0.2171036233226571	0.9988173090214237	0.03693480800075806	0.0007669414771296159
29	PRUNED	0.8517382413087935	0.00012323213076685747	0.135751101866334	0.9987267721314935	0.042472316762949804	0.0010622919911484978
