trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing
0	COMPLETE	0.8543642	0.00012492267085242073	0.2430378732744839	0.9988436337588507	0.03269299097981381
1	COMPLETE	0.8541059000000001	0.00011874132943948725	0.22917882261333122	0.9986123806062845	0.05350638004692478
2	COMPLETE	0.8530656000000001	0.00014780617858894452	0.17668830376515554	0.9991082532223128	0.03173369518517427
3	COMPLETE	0.8539791000000001	0.0001259005658351519	0.2851193276585322	0.9980993857401282	0.0052277579820924425
4	COMPLETE	0.8534905	0.00010082315491258465	0.2665239691095876	0.9990892500328286	0.052200728894809145
5	PRUNED	0.8274310024907641	0.0001328343497918668	0.15307159420281802	0.9991073368225127	0.02750249005735292
6	PRUNED	0.8548001537921466	0.00011735374209302513	0.2334138752227384	0.9986588838312654	0.021386696090408042
7	COMPLETE	0.8543248999999999	0.00011995937788086726	0.240832675616408	0.9987081258013525	0.03607271485986502
8	PRUNED	0.8546552771323338	0.00011656494044148606	0.15072163818167558	0.998641147613281	0.03336764851983171
9	PRUNED	0.851261819985178	0.00011898475835037875	0.18783164857410123	0.9987475509884977	0.0175396523394167
10	PRUNED	0.8512297799546424	0.0001075319770035383	0.1901235408121733	0.9986743440943757	0.04222988862100939
11	PRUNED	0.828801758579763	0.0001097814349608616	0.228215409452468	0.9990482974201516	0.03991102983919759
12	PRUNED	0.8305165967358175	0.0001408837940999389	0.15248956788275392	0.9987952669006446	0.019163273638817632
13	COMPLETE	0.8540466999999999	0.0001261050078076737	0.21982575184034825	0.9986479587472236	0.04359208850616829
14	PRUNED	0.8554785666126166	0.00011998874106488097	0.25837544176965954	0.9983773307405636	0.023067267137426663
15	PRUNED	0.8316003855948022	0.00011912630414306506	0.153333314709399	0.9987875694761189	0.020853633009985828
16	PRUNED	0.8538361667864685	0.00010732869844704288	0.24056668474091583	0.9985128341517874	0.0413650178077178
17	PRUNED	0.8517159525918991	0.00010342121086278569	0.1907486709726836	0.9984927649991603	0.013817090593934303
18	PRUNED	0.8294105191599382	0.00011913911526629315	0.1897622004029611	0.9989600533176254	0.03888091077362278
19	PRUNED	0.8541217409716766	0.00012927199513357068	0.22426813445583565	0.9986582613467715	0.0018046311014809624
20	PRUNED	0.8541454227333768	0.00012095192542673213	0.2092296781999774	0.998666091717453	0.022481411626159506
21	PRUNED	0.8307346082479397	0.00013049850747453483	0.2005930728984749	0.998824707238961	0.025223150564717307
22	PRUNED	0.8307965987418018	0.0001309436630418511	0.14735210998624174	0.998798970105815	0.029671801510052054
23	PRUNED	0.8312688409309997	0.00011916875614263418	0.15864390618072258	0.9987871174627039	0.03229970743992659
24	PRUNED	0.8559800627427381	0.00012223616238062415	0.22009281730422703	0.9984321205183797	0.03268932850591146
25	PRUNED	0.8316449630285909	0.0001302865896446317	0.21495405555279284	0.9986993637247549	0.03476883470987357
26	COMPLETE	0.8542866	0.00012671571215238744	0.2087564497712055	0.998560616261098	0.024084597851742478
27	PRUNED	0.8291054423474478	0.00013167646675613478	0.21181084838229153	0.9989090593667862	0.03989845452205447
28	PRUNED	0.8290984771234182	0.00012131022304142497	0.17260831659777168	0.9990035670507602	0.03309482902386096
29	PRUNED	0.8268124905969476	0.00013269473212030474	0.202188231471171	0.9991070342209003	0.041028094878632626
