trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing	lr_multiplier
0	COMPLETE	0.8553732000000001	0.00012028100254063813	0.22873408594703554	0.9988436337588507	0.04179532731987587	1.1965583595372333
1	COMPLETE	0.8545149999999999	0.00012427484724764767	0.17876569802728465	0.999248387476987	0.058546510420041165	1.1684090631780444
2	COMPLETE	0.8543068	0.00013052485655886854	0.19520108555552282	0.9987950216022989	0.057023865531706436	0.9497252407385209
3	COMPLETE	0.8546336	0.0001029750551958264	0.10363931153925864	0.9991655310079542	0.05112627003799401	1.5090085037727734
4	COMPLETE	0.8549588	0.0001389964076285353	0.24384854155901026	0.9986458272486546	0.05122116705145821	0.9827920981082533
5	PRUNED	0.82539715707416	0.00012402533302096453	0.12580359173362837	0.9993224851823629	0.04087393287000286	1.1902633579933666
6	PRUNED	0.8398472108456898	0.00010930977287568682	0.23936206409815902	0.9986383670379367	0.04273735795474594	0.9131528603054486
7	PRUNED	0.8284423530198426	0.0001230988120803248	0.21017723009003586	0.9988634756815411	0.057749923140584955	1.3772742093724384
8	PRUNED	0.8296933072555346	0.00011285847649465166	0.1786657516838815	0.998976476662994	0.022409018865170792	1.3667367008119675
9	PRUNED	0.8550522949020131	0.00012531382737223146	0.13786886099329138	0.9981803866343257	0.03261713403696735	1.1545975396598358
10	PRUNED	0.8257342739171863	0.00012114953010637129	0.17894827242321767	0.9993837120948749	0.024081792429921124	1.0462137292663842
11	PRUNED	0.8525921777748058	0.00010557761401014771	0.21755949858377174	0.9983544226713874	0.038652430914252245	1.071097914401122
12	PRUNED	0.8298270395569004	0.00010549452305016053	0.11986752540957493	0.9989186400714777	0.02552731805394455	1.0376076531760374
13	PRUNED	0.8521032190479374	0.00011320903407023876	0.24777878137262835	0.998135855771288	0.05351779629995215	0.9672688855257742
14	PRUNED	0.8204783158645514	0.00013889547698832573	0.1843572162965863	0.9993674432446572	0.04419382078980184	1.4174845055788112
15	COMPLETE	0.8550556	0.00013963322360077948	0.23968209502650678	0.9982756365911871	0.0446673323392948	1.1380366741675043
16	PRUNED	0.8552988638326564	0.00013592609282095456	0.2522862676603854	0.9984617227491815	0.029864480496763962	1.2938298217573259
17	PRUNED	0.8542199506304922	0.00013855360236940097	0.2687254391604618	0.9980775434486494	0.04094016468770035	0.929717586207413
18	COMPLETE	0.8549438	0.00013606873194240158	0.23637331321768631	0.9981886289907325	0.05791799309917102	1.205173238190133
19	PRUNED	0.8552807542501798	0.0001214641625402962	0.21660358531842747	0.9980946395904376	0.047658082519894285	1.484630561354039
20	PRUNED	0.829583256715869	0.00013012062663227743	0.22803407995108338	0.9989499211636806	0.03654217273115195	1.145476277932765
21	PRUNED	0.8299036570212243	0.0001365244208350257	0.2730190926451698	0.998891607306722	0.05080185820355061	1.0364920559504986
22	PRUNED	0.855014682692254	0.00013507000382697584	0.23182433941373742	0.9984760290210839	0.04838828330611755	0.9884076007199588
23	PRUNED	0.8293951956670735	0.00011326920687970858	0.23345685929917528	0.9989511473722175	0.04267998104186261	1.3156989807297657
24	PRUNED	0.8544323899633908	0.00012441569779831943	0.21788483942484738	0.9980397648011248	0.04151357630167901	1.0763869707489069
25	PRUNED	0.8555210544791962	0.00013974775444398232	0.20512507695786095	0.9984230327217711	0.02968833821429953	1.0493202274227114
26	PRUNED	0.8260734803274212	0.00012278199557913018	0.261026825343899	0.999172807583644	0.02821838702577503	1.414709562092608
27	PRUNED	0.8287585741907803	0.00010608175734455181	0.22628923734556844	0.9990507531957034	0.030265313528222773	1.076155972630015
28	COMPLETE	0.8549465999999999	0.00012970332089969058	0.16845370904047774	0.9985055491488449	0.045561856570960825	1.2007898720117463
29	PRUNED	0.8302560973571154	0.00010159960938386604	0.14053733232326604	0.9987914201080347	0.0586285679619156	1.0791880946794357
