trial	state	mean_val_auc	lr	lr_min_ratio	ema_decay	label_smoothing
0	COMPLETE	0.8535931999999999	0.00011012565096571014	0.2430378732744839	0.9986026434722569	0.027244159149844845
1	COMPLETE	0.8532536000000001	0.00010517209813448088	0.22917882261333122	0.998437463976645	0.04458865003910399
2	COMPLETE	0.8538399999999999	0.00012827448051583453	0.17668830376515554	0.9987916424579262	0.026444745987645225
3	COMPLETE	0.8530068	0.00011090719069007837	0.2851193276585322	0.9980710030183922	0.0043564649850770356
4	COMPLETE	0.852527	9.067162612894462e-05	0.2665239691095876	0.9987780702988398	0.043500607412340964
5	COMPLETE	0.8533620000000001	0.00012898187428289954	0.2598317128433447	0.998461354919098	0.039026458814322776
6	PRUNED	0.8521923739155146	9.400068858141415e-05	0.22798420426550475	0.9981432918009241	0.0472334458524792
7	PRUNED	0.8547444319999108	0.0001090390668741619	0.1829323879981047	0.9982644581906421	0.03871168447171083
8	PRUNED	0.8544184595153318	0.00010643638161658829	0.21368678977372968	0.9980187805696985	0.030881774853793856
9	PRUNED	0.8299398761861776	0.0001127183732134325	0.22338679937495137	0.9989437214908775	0.03409101495517417
10	PRUNED	0.8326507413784456	0.00010272028700834205	0.18740639075986829	0.998697525559552	0.003011273581463492
11	PRUNED	0.8543111950652782	0.0001150073816037972	0.23412757392363187	0.9982102993834627	0.006446314882742665
12	PRUNED	0.83327343240668	0.0001010687007770075	0.1727421541885245	0.9985700740472472	0.021930075673116018
13	PRUNED	0.8551233401871138	0.00012944540673137138	0.12040896214960561	0.998208794016381	0.008065475894249814
14	PRUNED	0.8547681137616111	0.00011443120190813339	0.1506583205079564	0.9984661861548029	0.012221279600080138
15	PRUNED	0.8315794899227139	0.00012491061805023116	0.18872224697573847	0.998787206845501	0.018019188327539515
16	PRUNED	0.8318274518981628	0.00012827901441273465	0.10853348924601042	0.9987034539697411	0.029687159121330315
17	PRUNED	0.8295916149847044	0.00011225573772347896	0.12134167245451745	0.9989739495527608	0.03881943071587588
18	PRUNED	0.8324933273153798	0.00011111442414673186	0.2662428900082453	0.9987037832648666	0.019602177683465824
19	PRUNED	0.8308286387723375	0.00012718128687539895	0.20126398671447468	0.9987500764288118	0.045347783435311255
20	PRUNED	0.8519026205958888	9.393025933689323e-05	0.11403379284874611	0.9981239564415602	0.021335196728476013
21	COMPLETE	0.8533308	0.0001270273030104582	0.2635453272090111	0.9984425648077053	0.028001234102765234
22	COMPLETE	0.8531302000000001	0.0001235883752498112	0.23432704021585876	0.9983745918002279	0.04008693727036715
23	PRUNED	0.8319779007371993	0.00011860522561174102	0.287898650093031	0.9986860443740785	0.042614624964889825
24	PRUNED	0.8296584811353871	0.0001297756005037424	0.10950160524747017	0.998991305214037	0.007387054223772893
25	PRUNED	0.8544978630692677	0.00010950205119606949	0.25580986978797043	0.9983625328902265	0.025087919053012973
26	COMPLETE	0.8530642	0.0001295014732301346	0.20652390173072022	0.9980834011195368	0.034748240441797563
27	PRUNED	0.8559884210115734	0.00012223178391009026	0.2824058928583246	0.998162647181717	0.04754915445756713
28	PRUNED	0.8293290260387934	0.00012734209508670448	0.1558273756312214	0.9989477343121178	0.03246636911699265
29	PRUNED	0.8320851651872531	0.00012795540829924063	0.2655965861373074	0.9986274316178781	0.04310012001874988
