combo	model	timestamp	n_seeds	val_mean_roc_auc	val_std_roc_auc	val_mean_mcc	val_std_mcc	hold_internal_ens_roc_auc	hold_external_ens_roc_auc	hold_nn03_ens_roc_auc	hold_nn05_ens_roc_auc	hold_total_ens_roc_auc	hold_internal_ens_mcc	hold_external_ens_mcc	hold_nn03_ens_mcc	hold_nn05_ens_mcc	hold_total_ens_mcc	hold_internal_ens_f1	hold_external_ens_f1	hold_nn03_ens_f1	hold_nn05_ens_f1	hold_total_ens_f1	hold_internal_ens_acc	hold_external_ens_acc	hold_nn03_ens_acc	hold_nn05_ens_acc	hold_total_ens_acc	wall_time_min
maccs+scage1+mole	mlp2	2026-05-17T19:32:24	10	0.808768	0.006036	0.451945	0.013208	0.900992	0.84609	0.844156	0.830888	0.860095	0.744338	0.551511	0.528265	0.523433	0.58747	0.943262	0.885338	0.881356	0.908068	0.897474	0.910615	0.827927	0.820513	0.851064	0.844595	0.72
maccs+scage1+mole	mlp3	2026-05-17T19:33:11	10	0.812916	0.007133	0.447866	0.016645	0.903386	0.849754	0.821429	0.830502	0.863126	0.711919	0.525616	0.528265	0.511511	0.560992	0.935714	0.880597	0.881356	0.906367	0.892012	0.899441	0.819464	0.820513	0.848024	0.835586	0.78
maccs+scage1+mole	mlp4	2026-05-17T19:34:04	10	0.812241	0.007797	0.446925	0.020794	0.899795	0.847338	0.844156	0.832432	0.86095	0.710615	0.513609	0.528265	0.483625	0.550754	0.93617	0.877912	0.881356	0.900563	0.890037	0.899441	0.815233	0.820513	0.838906	0.832207	0.89
maccs+scage1+mole	xgboost	2026-05-17T19:35:28	10	0.810047	0.005954	0.459467	0.011082	0.89552	0.868969	0.863636	0.864755	0.876384	0.693245	0.610716	0.611826	0.578919	0.625999	0.932862	0.903108	0.903226	0.923636	0.909223	0.893855	0.850494	0.846154	0.87234	0.859234	1.39
maccs+scage1+mole	lightgbm	2026-05-17T19:36:13	10	0.818273	0.004989	0.470025	0.013513	0.900137	0.862181	0.876623	0.860232	0.872262	0.727373	0.593943	0.680301	0.590851	0.619182	0.939929	0.898711	0.918033	0.925046	0.907232	0.905028	0.844852	0.871795	0.87538	0.856982	0.76
maccs+scage1+mole	tabpfn	2026-05-24T20:49:44	10	0.832495	0.002409	0.496441	0.007058	0.897572	0.859656	0.827922	0.849917	0.870291	0.710615	0.61424	0.522374	0.605652	0.632452	0.93617	0.902507	0.885246	0.925926	0.909492	0.899441	0.851904	0.820513	0.878419	0.861486	125.81
