trial	state	mean_val_auc	lr_schedule	lr_min_ratio	label_smoothing	ema_decay
0	COMPLETE	0.8541361999999999	cosine	0.1904145064107466	0.03269299097981381	0.9963263967752773
1	COMPLETE	0.853419	constant	0.23376595011731197	0.057819765630061755	0.9961053416929967
2	COMPLETE	0.852116	constant	0.18520668416408986	0.05553579829755966	0.9943896977555976
3	COMPLETE	0.8531046	constant	0.2248929768321907	0.046689405056991026	0.9987833495647986
4	COMPLETE	0.8525652000000001	constant	0.16922190433793977	0.046831750577187324	0.9946489279872615
5	PRUNED	0.8528624284671491	constant	0.24170033755743758	0.0313108993050043	0.9962769581700902
6	PRUNED	0.8525434212065998	cosine	0.16842254983248228	0.03410603693211891	0.9941030643843363
7	PRUNED	0.8379874960298223	constant	0.19254009953121354	0.05662488471087745	0.9977467186004703
8	PRUNED	0.8396884037378178	cosine	0.20464467938908973	0.00361352829775619	0.9976638443299827
9	COMPLETE	0.8535664000000001	constant	0.119338944648228	0.018925701055451032	0.9959968983937156
10	PRUNED	0.8526674021943242	constant	0.24825607570888392	0.006122688644881684	0.9951463159817244
11	COMPLETE	0.8534523999999999	cosine	0.13799374038096732	0.027978646371378375	0.9953415396486742
12	COMPLETE	0.8529458	constant	0.198449438419791	0.008290977080916829	0.9950788077244078
13	PRUNED	0.8517856048321938	cosine	0.1145651913689592	0.05027669444992823	0.9945272241252775
14	PRUNED	0.833869655583602	constant	0.24651416322855058	0.03629073118470276	0.9980630234993896
15	PRUNED	0.8412736887269243	constant	0.1384681346922711	0.01946356041331625	0.997557753299308
16	PRUNED	0.8522035182739618	constant	0.1190062325887306	0.0014481649196192402	0.9957891092132867
17	PRUNED	0.8425441455898988	cosine	0.17851514624799894	0.04305684242806876	0.9973550137294233
18	COMPLETE	0.8532021999999999	constant	0.13684255663806308	0.02194454090221737	0.9947578694928052
19	PRUNED	0.8440946044588579	constant	0.12562502257814778	0.04422424724249939	0.9971625966627786
20	PRUNED	0.8492976268088686	cosine	0.21603280663088903	0.02220912575564422	0.9963857636836883
21	PRUNED	0.8495859870836886	cosine	0.12191002905916964	0.025327767230604377	0.9962770746235418
22	PRUNED	0.8529474042003087	cosine	0.17212903988989253	0.020344939680650525	0.995005246633038
23	PRUNED	0.8520133676579574	cosine	0.11278648381727674	0.004074771073385195	0.9946871907891831
24	PRUNED	0.8519179440887537	cosine	0.23307562877900728	0.04244299257339044	0.994050021045775
25	COMPLETE	0.8536692	constant	0.10701451230719217	0.022895762861837275	0.9956795213601073
26	COMPLETE	0.8538881999999999	constant	0.1133017482699907	0.024394196106069882	0.9958702716069039
27	PRUNED	0.7891027677014204	cosine	0.10960081458451243	0.052113201885450586	0.9993834420101424
28	PRUNED	0.8527899901372428	constant	0.10419581736801456	0.0331972101760958	0.9949182579971441
29	PRUNED	0.8489911569515722	cosine	0.21100557306518378	0.04647296950589494	0.9961479775822544
