trial	state	mean_val_auc	lr	weight_decay	dropout	drop_path	mod_drop_p	head_dropout
0	COMPLETE	0.8536031428571428	0.00012028100254063813	1.8009244905791144e-06	0.056165802564298636	0.031795327319875874	0.09236547993389047	0.09458941130666561
1	COMPLETE	0.8542778571428571	0.00011586273062181749	2.4711794282625113e-06	0.07781976563006175	0.025337660753031108	0.12917250380826645	0.08288949197529044
2	COMPLETE	0.8528834285714285	0.00012106183038006434	2.625573532596414e-06	0.024262163491873216	0.013485171988061628	0.05202183974403257	0.1132619845547938
3	COMPLETE	0.8534238571428572	0.0001299303228150511	2.376681826631864e-06	0.07871710053396584	0.04196634256866895	0.09614793622529319	0.10805291762864555
4	COMPLETE	0.8533515714285713	0.00010405985335179427	1.5737123289445134e-06	0.028601197244542784	0.04778675668198336	0.10218483217500716	0.07146619399905235
5	PRUNED	0.8070347369652797	0.00010930977287568682	2.0018932621837818e-06	0.04736901993299292	0.032737357954745944	0.05187898004363552	0.09176354970758771
6	PRUNED	0.849087277043179	0.00012286957203953494	1.5102121690019007e-06	0.07662488471087744	0.037272811964139334	0.0859507900573786	0.07370319537993414
7	PRUNED	0.8452682447078228	0.0001264571751918449	5.569734972200239e-07	0.06000600292674006	0.03682551478472638	0.0710382561073841	0.04289262976548533
8	PRUNED	0.8046129285702345	0.00011119696282484768	9.593829489760433e-07	0.05421180622507278	0.027544060538492815	0.1488373838059226	0.0402044810748028
9	PRUNED	0.8051590021341446	0.00010728098443970605	6.675644597790136e-07	0.0591864995279239	0.020131664101591284	0.09663107728563063	0.05444255920016028
10	PRUNED	0.8052495500465278	0.00010549452305016053	6.093384148439925e-07	0.0593797753679164	0.015527318053944552	0.06965823616800534	0.06687251706609641
11	PRUNED	0.8070368265324885	0.00013181660682040855	5.950171500826382e-07	0.07027669444992823	0.013843936315758523	0.14764594650133955	0.07686512016477015
12	PRUNED	0.8505750488958727	0.00013890957390350306	1.477853218739629e-06	0.0643558147638981	0.011567511690172828	0.07828069625764096	0.04201965612131689
13	PRUNED	0.8073391172553674	0.00011047763923342927	6.185262381217688e-07	0.03907899076363856	0.026570519780586797	0.05641474963487844	0.09924721193700199
14	PRUNED	0.8062344327242941	0.00012100306121301195	8.044205719468702e-07	0.05139488320800198	0.013757620430337666	0.10759464955561793	0.12292961975762141
15	COMPLETE	0.8536440000000001	0.0001179074357795967	2.6622896425718974e-06	0.06136883882219265	0.028851058975240405	0.11902639307994031	0.09438342198764248
16	PRUNED	0.8042563090999261	0.0001040541437217726	1.9053735965502488e-06	0.07207462679922222	0.019335535964588736	0.13920245892122912	0.09602809104596004
17	PRUNED	0.806054729944334	0.00011131809298146471	2.793152463490607e-06	0.05431904134180774	0.035626602993805795	0.13583250133163716	0.12631472322082937
18	PRUNED	0.8062581144859944	0.00011693431958122694	2.0413347738765593e-06	0.07866879178942014	0.03325383046434562	0.13145733223165593	0.051007983465337525
19	PRUNED	0.8494585234839493	0.00013509137280605417	1.539959103202693e-06	0.06802177185993848	0.020832975103808448	0.12111998567096001	0.09863605963940887
20	PRUNED	0.8058206984169438	0.00011224476157564904	2.7152450564650234e-06	0.06752201600905419	0.016924728985273023	0.09559416619117435	0.10776387437496171
21	PRUNED	0.8067665758401452	0.00011677584628118469	2.13416304274957e-06	0.04142601707611785	0.03145467610232717	0.10909910428034093	0.08620872105504768
22	PRUNED	0.8059697542111744	0.00012181040418571189	2.3280898606756234e-06	0.07892714272078717	0.021758618152299097	0.1323048933361521	0.1185949494545811
23	PRUNED	0.8055504477246006	0.00011825410142920123	1.668860988611639e-06	0.06680796897259589	0.015482669468744582	0.12290364134279921	0.07233562674297861
24	COMPLETE	0.8534341428571429	0.00012987642931688214	2.319084339834709e-06	0.05630750523721846	0.028527273944962017	0.10027915655593805	0.08718639264559053
25	PRUNED	0.8067665758401452	0.00010840322275500986	2.055466211574417e-06	0.06968059607770417	0.03851194202320179	0.09214222974688203	0.09686146221749464
26	COMPLETE	0.8531247142857143	0.00012210118906904569	2.050453854572105e-06	0.0678747026331695	0.03268952254062854	0.119802050537617	0.09005291153537696
27	PRUNED	0.8056396025921777	0.0001142300747112908	2.972647429230763e-06	0.07076785980069372	0.02051283876857981	0.1280615261041503	0.07911174732153824
28	COMPLETE	0.8533504285714286	0.00012280795688687275	7.795128064435795e-07	0.05743260213803904	0.0361598474056392	0.12207703117907052	0.0801460240142694
29	PRUNED	0.8065555295520525	0.00011135426322255866	7.733366598555481e-07	0.07751756127033654	0.02863637791977353	0.06049096825614304	0.11023780742154224
