trial	state	mean_val_auc	lr	weight_decay	batch_size	grad_clip_max_norm	dropout	drop_path	mod_drop_p	head_dropout	d_model	d_ffn	depth
0	COMPLETE	0.8470763333333333	8.558894657793098e-05	0.0001398196140899405	64	1.4688411695999841	0.175034884505077	0.08917730007820798	0.2890988281503088	0.1150324556477333	384	768	3
1	COMPLETE	0.8466279999999999	0.000259774275700225	0.00021600820741402046	128	1.1922190433793978	0.3122116705145822	0.011827442586893323	0.19197630639825713	0.04300598622271392	384	1048	5
2	COMPLETE	0.8218046666666666	1.0762751359127566e-05	7.126995609048586e-05	256	1.522730448655225	0.14380316022951442	0.04370319537993415	0.20928935877817945	0.01806764148878095	512	1536	5
3	COMPLETE	0.846209	5.56122946646858e-05	0.0009228295957427442	128	1.4796624881980978	0.10131664101591285	0.04663107728563063	0.07332767760048083	0.04769087509365592	512	1536	3
4	COMPLETE	0.8475746666666666	0.00026524259191408817	1.942205696972692e-06	256	1.4072682796175688	0.2957054317593207	0.003918779225432068	0.08484208877292287	0.03605896836395067	768	1536	5
5	COMPLETE	0.8241169999999999	2.824156663833462e-05	3.7131642495346186e-05	256	0.9778534286769855	0.2669641519854727	0.013179786240439218	0.21489816123556965	0.08682182788416033	512	768	4
6	COMPLETE	0.8500103333333332	0.00017744860558534652	0.0007701328264939122	256	1.35837785868631	0.08923265305624734	0.09527490115169851	0.1341376135852882	0.25392260174133835	768	1048	6
7	COMPLETE	0.8524383333333333	0.00015017249579685538	0.00014988661076850772	128	1.1357825728372695	0.24255728565116974	0.0019193198309333526	0.0904724450023648	0.1980520612478055	512	1536	5
8	COMPLETE	0.8402293333333334	9.457173802952313e-05	9.111763933595847e-05	256	1.0513428050718447	0.17434597010625075	0.08919233550156722	0.24185819671382572	0.2111665750621099	512	768	3
9	COMPLETE	0.8491363333333334	0.00011112639750008533	2.352122566231734e-06	64	1.1107749458389995	0.02766679818205522	0.06974287731445637	0.13606280480342064	0.21661667984110436	512	1536	3
10	COMPLETE	0.844628	0.00040510270642517244	9.401085893739509e-06	128	0.5515100596958089	0.37971205757620874	0.02889369022796741	0.01781208202328713	0.1626178673039376	384	1536	6
11	COMPLETE	0.8498069999999999	0.00017074122233634847	0.000994591139306367	128	0.754672219875431	0.0004176461717137897	0.06765527830343164	0.12165468379175626	0.2871314131986224	768	1048	6
12	COMPLETE	0.8416770000000001	4.701349384964753e-05	0.00041009425894380255	256	1.9435736659632998	0.23677425235162278	0.0659890394440209	0.028199767949881528	0.2991555029238196	768	1048	6
13	COMPLETE	0.8491	0.00017031026560744263	0.0003398195861503174	128	1.7513162516136593	0.09363545779030685	0.02772609493607231	0.0930856530380017	0.23643059376911618	768	1048	4
14	COMPLETE	0.8412843333333333	0.0004630406546671092	1.638933817445899e-05	64	0.7771757252826085	0.059721051374419215	0.08034720669644542	0.16488750516078965	0.17322571410743545	768	1048	6
15	COMPLETE	0.8483226666666667	0.00015348687190997194	0.00039461322299556763	256	1.278389674084217	0.2116960502528935	0.029555364931674266	0.06164660551374786	0.2532346136715373	512	1536	5
16	COMPLETE	0.8465806666666666	0.00026327330082392877	6.649452180007312e-05	128	1.747428245714032	0.375006462486403	0.0548684421106969	0.11469914978476042	0.18135256261133673	768	1048	4
17	COMPLETE	0.8434050000000001	3.1279481774142054e-05	0.0005616236156185949	128	0.916386065652336	0.12945709054155236	0.09928104305839326	0.1622562446661836	0.2557539108447432	512	1048	6
18	COMPLETE	0.8494823333333333	0.00011849472717397352	0.00019520342203735991	256	1.2916404231373546	0.22882167027665462	0.00020969143182482971	0.04660532511676222	0.12251250050796114	768	1536	5
19	COMPLETE	0.8324000000000001	1.0741346764677027e-05	2.267705339500187e-05	64	1.6542683086361127	0.3245611421898831	0.03675802723227635	0.10800468491349334	0.19858760385487184	384	768	6
20	COMPLETE	0.849001	6.37366919859334e-05	1.022015181767189e-05	256	1.3223988830276197	0.08264324484837232	0.059460403752030135	0.15302716716498674	0.13736299564464496	768	1536	5
21	COMPLETE	0.8492806666666667	0.0001659531551046654	0.0006134412425563516	128	0.7201882062964575	0.019472875690206233	0.07539646871687805	0.12154910096848812	0.28229666452637203	768	1048	6
22	COMPLETE	0.8475883333333333	0.00021415209642726884	0.000994645770152599	128	0.5358855601318311	0.04656837145170722	0.09966879908412371	0.13706680730764215	0.27080529636733564	768	1048	6
23	COMPLETE	0.8433743333333333	0.0003587834015909394	0.0002090350016925436	128	0.8360830635492054	0.003625527081052139	0.08746477727877566	0.18242393914027658	0.23874453073619145	768	1048	6
24	COMPLETE	0.8512550000000001	0.00013530558032938327	0.0009670766457664501	128	0.6774123741483464	0.13501237702614236	0.0626532356372069	0.05612734989063417	0.2963554185571535	768	1048	5
25	COMPLETE	0.8512166666666666	0.00013470546747568253	0.00012143097106901106	128	1.1561806143609688	0.1303722632793024	0.018469630050982823	0.05233963233694181	0.23128757560794572	512	1048	4
26	COMPLETE	0.8519323333333334	0.00011746991436291066	4.062292949790947e-05	128	1.1524012784319098	0.17241048588697885	0.01605471169210263	0.04474703815696654	0.19301896094521895	512	1048	4
27	COMPLETE	0.849657	7.510798175535702e-05	4.090841210443155e-05	128	0.6399458215993863	0.18071181228535846	0.007672252278461961	0.006519572604130698	0.19200239639515013	512	1048	4
28	COMPLETE	0.8504743333333332	0.00010813345404169953	4.305321414717183e-06	128	0.9292369607745685	0.2566244041159074	0.01884526224852658	0.03086914435579677	0.15752150030098389	512	1536	5
