trial	state	mean_val_auc	lr	weight_decay	batch_size	grad_clip_max_norm	dropout	drop_path	mod_drop_p	head_dropout	d_model	d_ffn	depth
0	COMPLETE	0.8471042000000001	8.558894657793098e-05	0.0001398196140899405	64	1.4688411695999841	0.175034884505077	0.08917730007820798	0.2890988281503088	0.1150324556477333	384	768	3
1	COMPLETE	0.8473984	0.000259774275700225	0.00021600820741402046	128	1.1922190433793978	0.3122116705145822	0.011827442586893323	0.19197630639825713	0.04300598622271392	384	1048	5
2	COMPLETE	0.8248926000000001	1.0762751359127566e-05	7.126995609048586e-05	256	1.522730448655225	0.14380316022951442	0.04370319537993415	0.20928935877817945	0.01806764148878095	512	1536	5
3	COMPLETE	0.8483338	5.56122946646858e-05	0.0009228295957427442	128	1.4796624881980978	0.10131664101591285	0.04663107728563063	0.07332767760048083	0.04769087509365592	512	1536	3
4	COMPLETE	0.8482415999999999	0.00026524259191408817	1.942205696972692e-06	256	1.4072682796175688	0.2957054317593207	0.003918779225432068	0.08484208877292287	0.03605896836395067	768	1536	5
5	COMPLETE	0.8260066	2.824156663833462e-05	3.7131642495346186e-05	256	0.9778534286769855	0.2669641519854727	0.013179786240439218	0.21489816123556965	0.08682182788416033	512	768	4
6	COMPLETE	0.8484619999999999	0.00017744860558534652	0.0007701328264939122	256	1.35837785868631	0.08923265305624734	0.09527490115169851	0.1341376135852882	0.25392260174133835	768	1048	6
7	COMPLETE	0.8532667999999999	0.00015017249579685538	0.00014988661076850772	128	1.1357825728372695	0.24255728565116974	0.0019193198309333526	0.0904724450023648	0.1980520612478055	512	1536	5
8	COMPLETE	0.8424422	9.457173802952313e-05	9.111763933595847e-05	256	1.0513428050718447	0.17434597010625075	0.08919233550156722	0.24185819671382572	0.2111665750621099	512	768	3
9	COMPLETE	0.852224	0.00011112639750008533	2.352122566231734e-06	64	1.1107749458389995	0.02766679818205522	0.06974287731445637	0.13606280480342064	0.21661667984110436	512	1536	3
10	COMPLETE	0.8440465999999999	7.67760147271337e-05	1.4555058825551694e-06	256	0.8358870320905702	0.1381406722787611	0.09280812934655909	0.21132432057705983	0.009551678859392353	512	1048	5
11	COMPLETE	0.8501673999999999	0.00010051696222588721	0.00015501227443631753	128	0.7792895088205043	0.37774895599357344	0.07395507950492876	0.14713764258527012	0.06822438839199697	768	1048	3
12	COMPLETE	0.8426798	1.101357768029093e-05	1.5912883907384322e-06	64	1.845006939560513	0.3961355789586818	0.021689698439847395	0.19892346093003024	0.07899671302114519	512	1536	5
13	COMPLETE	0.8488032000000001	0.0003038136538822281	6.616466294247085e-06	256	1.5312324145817229	0.08620307084542339	0.09473705904889243	0.21925674203104734	0.07618249277850775	512	1048	4
14	COMPLETE	0.8441469999999999	2.9626670290690425e-05	5.759079044844152e-05	64	0.6981021595177299	0.2867438724770375	0.039605970280729375	0.16962639355755268	0.054983950864223585	512	768	6
15	COMPLETE	0.8510802	0.00012711213169675766	2.39812060956173e-06	64	1.149546355888704	0.015616938167469228	0.09544881638896974	0.14109158301079444	0.24382382093447766	512	1536	4
16	COMPLETE	0.8500532	0.00011688668762444728	7.909814880765486e-05	128	1.0436689496185432	0.18306236286707717	0.008451889332613031	0.06367216330016166	0.20807996733802134	512	1048	5
17	COMPLETE	0.8529864	9.975423150322919e-05	0.00027527145845752325	128	1.5646583711056365	0.20656150209972693	0.002201197414713143	0.17574703220096832	0.25381441920635345	768	1536	5
18	COMPLETE	0.848292	3.200207054550173e-05	0.0004493929301099083	128	1.697867442357682	0.27029590542936716	0.0032781003473531913	0.1268058799613206	0.29439995789819645	768	1536	4
19	COMPLETE	0.8515346000000001	0.0001364689115402331	3.9915290223810174e-05	128	1.6328723196458272	0.3621972766521809	0.025536726122668704	0.0785448286218117	0.2464349329806408	512	1536	6
20	COMPLETE	0.849841	0.00018028364444245624	0.00012371652573644551	128	1.660759896049681	0.22689291215422722	0.0014261452580982023	0.24228153653518872	0.19078783937693972	768	1536	6
21	COMPLETE	0.8448524000000001	0.00011513420237889325	7.373642518272055e-06	256	1.394741401610554	0.005939193112421127	0.05726804159080898	0.1308899614887936	0.2791650841612171	384	1536	3
22	COMPLETE	0.8530078	0.00011431619753559389	0.00010075654301929389	128	0.778997724026147	0.2859442599130234	0.01196359007229741	0.1679061676913018	0.28199064931495527	768	1536	5
23	COMPLETE	0.8496774	0.00018976578579085618	0.00010377867748366786	128	0.7709172362073187	0.35620031888933	0.0012635749172308728	0.1978745716469406	0.21545118232591798	768	1536	4
24	COMPLETE	0.8442156000000001	0.0003749274084798451	8.338767970504381e-06	128	0.6037561573779715	0.1757968691360629	0.030548338413604482	0.1440526436656385	0.2980514990765918	768	1536	5
25	COMPLETE	0.8502126000000001	0.00013549934950868818	0.00018888235004811533	64	1.337502105260461	0.17952045746335615	0.01854185486710804	0.04118220132806654	0.14569246133223313	768	1536	5
26	COMPLETE	0.8379875999999999	3.592415069068694e-05	0.00012146866661380717	256	1.5300474736540794	0.18690858689821818	0.008104118399306828	0.1706641617442195	0.2208035203197622	768	1048	5
27	COMPLETE	0.8529734	5.353233605491135e-05	0.0003537042862903717	64	1.390277733521689	0.1510508149234121	0.019074886654675403	0.1793568270432717	0.20944435254009436	512	1536	5
28	COMPLETE	0.8503598	9.857310190927577e-05	0.0007531607961665362	128	1.8151497474973408	0.12164645367655708	0.009183297305387772	0.22939360888594007	0.2522568246060665	768	768	4
29	COMPLETE	0.8491576000000001	0.00013441902940442184	0.00010206330796008566	128	0.6649876174674265	0.3196083083279808	0.021711808859691588	0.10341646916006779	0.27703573816265914	512	768	6
