trial	state	mean_val_auc	lr	weight_decay	dropout	drop_path	mod_drop_p	head_dropout	optimizer_type
0	COMPLETE	0.8526177142857142	9.13735697146428e-05	4.2604240005950226e-06	0.06027633760716439	0.027244159149844845	0.0635482199008357	0.09688411695999842	nadam
1	COMPLETE	0.8514449999999999	7.61935314510672e-05	5.358312362730339e-06	0.05288949197529045	0.028402228054696617	0.13883949574389914	0.010655408729683041	nadam
2	COMPLETE	0.8503558571428572	0.0001175560891942954	6.774572670605335e-06	0.0978618342232764	0.039957928210836186	0.06922190433793977	0.11707937644296831	radam
3	COMPLETE	0.853409	0.00014115349092574475	2.3873182833893645e-06	0.04146619399905236	0.01322778060523135	0.1161350534151325	0.06842254983248228	nadam
4	COMPLETE	0.8533311428571428	9.795212983440259e-05	3.174092943781572e-06	0.09437480785146242	0.03409101495517417	0.0539261850860679	0.06555479306990121	adamw
5	PRUNED	0.7756724227278047	0.00010445893317935814	9.390398587815573e-07	0.01289262976548533	0.015771417546209195	0.05455661564139339	0.08552951556268194	radam
6	PRUNED	0.7992037355889515	6.289694393839909e-05	8.106595918180279e-07	0.06531083254653984	0.012664580126989107	0.06994661592844593	0.03666383880024041	nadam
7	PRUNED	0.7643455754110874	5.8196923578489894e-05	9.010098805195135e-07	0.036872517066096414	0.041049661492396756	0.01456519136895919	0.12569173612482057	radam
8	COMPLETE	0.8521225714285715	0.0001462188891916011	3.061203267836412e-06	0.07392635793983017	0.001959389612716034	0.04242104438646144	0.018029484181975336	nadam
9	PRUNED	0.8051158177451619	7.881768668078523e-05	6.05937486708738e-07	0.06924721193700199	0.02833007271032876	0.03980842364091681	0.07848720802000494	nadam
10	PRUNED	0.8036433693853329	7.095222557841738e-05	3.69224854554143e-06	0.013179786240439218	0.03581636020592828	0.043410913942080166	0.027478704301067525	nadam
11	PRUNED	0.7594852420833262	5.025859179277865e-05	3.8091638163196024e-06	0.027000797319216487	0.03675970110612974	0.14432828176761572	0.037312971527993705	radam
12	PRUNED	0.8011804661685139	6.388619059622972e-05	8.680106358131546e-06	0.04471253786176274	0.04232043362355639	0.10492189129762565	0.04461554262827005	nadam
13	PRUNED	0.804553027643581	9.469076967942129e-05	7.016720191562986e-06	0.0692531590077766	0.03626271399098203	0.07519865728900534	0.14341254520848357	adamw
14	PRUNED	0.7947877835542703	5.106548807749494e-05	1.2340361630972391e-06	0.06601735374926851	0.014503880360522204	0.09270231434982623	0.06431530514186491	nadam
15	COMPLETE	0.8521218571428572	0.00012579878958571074	6.497213621415376e-06	0.0472204057184464	0.00712650212299383	0.12274181051261963	0.08801790731437849	nadam
16	COMPLETE	0.8526077142857142	0.00013763161705190828	2.7878542952731354e-06	0.0028177630587965033	0.009875946201344741	0.12149630836050467	0.01692846920298842	nadam
17	PRUNED	0.803692125953539	8.842108932617471e-05	2.4701005043628185e-06	0.09879353167866367	0.017928492493507864	0.04269904573636138	0.05544283978767278	adamw
18	PRUNED	0.8051408925516681	9.349997455553982e-05	2.799530578482664e-06	0.07635695454201046	0.04657295356394479	0.059342688736677134	0.02472252605928673	adamw
19	COMPLETE	0.8528595714285715	0.00014259406709541455	1.1795854086348744e-06	0.021761835513105225	0.022305628679038736	0.12874482706563162	0.09095677737848609	nadam
20	PRUNED	0.8112981505937157	0.00011562976500405708	1.0648348198345834e-06	0.07982159541115041	0.007951997517954857	0.14831719895220113	0.051873142833767774	nadam
21	PRUNED	0.8109262076305421	0.00010511808369249517	1.5907285866175448e-06	0.005785927159309697	0.02562926690410617	0.1318720828139167	0.08713021915469304	nadam
22	COMPLETE	0.8534824285714285	0.0001482255541530719	6.244236672816564e-07	0.05356200011136036	0.011183739439869549	0.12480740187178273	0.12622480528960048	nadam
23	PRUNED	0.8088867900347145	0.00013069717748096985	1.728360002315284e-06	0.046353527647691295	0.020432924750548632	0.08683155901573356	0.08199352932483968	adamw
24	PRUNED	0.8080495701063728	0.00014650095093367264	1.496480430671604e-06	0.08578954761708463	0.020215412161784567	0.14496747750774863	0.12406145364565835	adamw
25	PRUNED	0.8145585719619086	0.0001302094487607819	1.1122266741744546e-06	0.04976035849783164	0.010124121881583348	0.1388433643330153	0.13478895662154142	nadam
26	PRUNED	0.8358227044014643	0.00014642402010050335	5.274924807245369e-07	0.08806105478353075	0.026398427139583187	0.08743111582511894	0.113096055696631	nadam
27	PRUNED	0.7811833079799179	0.000140069698651918	8.550087059717626e-07	0.06533869716625477	0.007332880333198534	0.08118958747819108	0.13803341587661283	radam
28	PRUNED	0.8104790402478507	0.00012832704326542476	8.035641065778502e-06	0.06875608386951312	0.04271845141668886	0.03696597179608978	0.07603027889310822	adamw
29	PRUNED	0.8303954018377048	0.00014845802778758158	5.193548329607821e-07	0.030792025949933605	0.0031483738970735156	0.10720924845052045	0.1484041843916183	nadam
