trial	state	mean_val_auc	lr	weight_decay	dropout	drop_path	mod_drop_p	head_dropout
0	COMPLETE	0.8530742857142857	9.13735697146428e-05	4.2604240005950226e-06	0.06027633760716439	0.027244159149844845	0.0635482199008357	0.09688411695999842
1	COMPLETE	0.8523892857142856	8.086343087143203e-05	7.230917851781507e-06	0.09636627605010294	0.019172075941288887	0.11875875571239969	0.07933423796293566
2	COMPLETE	0.8525445714285714	9.332460019248522e-05	8.00200824711684e-06	0.007103605819788694	0.0043564649850770356	0.0030327596160488576	0.1248929768321907
3	COMPLETE	0.8531291428571429	0.0001175560891942954	6.774572670605335e-06	0.0978618342232764	0.039957928210836186	0.06922190433793977	0.11707937644296831
4	COMPLETE	0.851398	5.693787397257815e-05	3.400372129740378e-06	0.014335328740904641	0.0472334458524792	0.07827724826251074	0.06219929099857854
5	PRUNED	0.8012494218864056	6.686442433478946e-05	5.084769352938288e-06	0.04561503322165486	0.028421697443432425	0.0028184700654532713	0.09264532456138155
6	COMPLETE	0.8533311428571428	9.795212983440259e-05	3.174092943781572e-06	0.09437480785146242	0.03409101495517417	0.0539261850860679	0.06555479306990121
7	PRUNED	0.8502894747106646	0.00010760307336936319	5.988597841382304e-07	0.06667667154456677	0.03353189348090797	0.03155738416107613	0.019338944648227996
8	PRUNED	0.7994628419228476	7.070784071443898e-05	1.4865127107234922e-06	0.05701967704178797	0.021930075673116018	0.1482560757088839	0.01530672161220421
9	PRUNED	0.798153379805308	6.289694393839909e-05	8.106595918180279e-07	0.06531083254653984	0.012664580126989107	0.06994661592844593	0.03666383880024041
10	PRUNED	0.7972465076366717	5.954122581963407e-05	6.959393188729556e-07	0.06563295894652735	0.00690914756743069	0.029487354252008022	0.05530877559914461
11	COMPLETE	0.8534878571428571	0.0001232206014464186	6.688083348704398e-07	0.0837944907498804	0.004804920394698153	0.14646891975200935	0.07029768024715523
12	COMPLETE	0.8518347142857142	0.0001462188891916011	3.061203267836412e-06	0.07392635793983017	0.001959389612716034	0.04242104438646144	0.018029484181975336
13	PRUNED	0.8013044471562384	6.922529050592149e-05	7.135728670126613e-07	0.0317983179393976	0.0207131497257335	0.009622124452317653	0.10387081790550297
14	PRUNED	0.8028312242634972	9.317675920080193e-05	1.1072602074396088e-06	0.05232480534666997	0.004697025537922084	0.0863919743334269	0.13939442963643212
15	COMPLETE	0.8530965714285715	0.00012082105931336099	1.9321729021665047e-06	0.08855289536484848	0.038365817803659386	0.12445181197535805	0.06965181654465315
16	PRUNED	0.8503166390843795	0.00013765886631014493	1.9458136939878912e-06	0.09959984221273464	0.049695960881991505	0.13754023969898943	0.05884798120475952
17	PRUNED	0.8046233764062787	0.00011205391533815599	1.303403706047503e-06	0.07896931949997016	0.015361505895446888	0.10842052609776709	0.05181852158956507
18	COMPLETE	0.85421	0.00010822017061730939	2.2750456239160757e-06	0.08540774802107023	0.03600869248485993	0.14834545346574932	0.08318862488209869
19	COMPLETE	0.8532195714285713	0.00014322809970065639	5.030717481904094e-07	0.0779252595234972	0.0007720778413735224	0.1472765145400723	0.09506655910931408
20	PRUNED	0.8050475585496732	0.00011963682256131904	1.3732764778179147e-06	0.07868796117259311	0.013600870517021921	0.14795897489475032	0.07722209952443156
21	PRUNED	0.804449942327945	9.983375079358074e-05	2.672329468218777e-06	0.09782851160169939	0.03528073049226219	0.14970630645719893	0.07628136425548197
22	PRUNED	0.8216665830839784	0.00010289568931086201	2.683655364283616e-06	0.0840229257443384	0.0351318800319194	0.1164961921633659	0.052816504325425104
23	PRUNED	0.8050935290282677	0.00010396611811204758	2.3463300985044894e-06	0.0836649057643801	0.03207435997251557	0.1125006375947944	0.08533518436270797
24	PRUNED	0.8509260961869578	0.00012001682442713508	3.6208282367586112e-06	0.0974276104257695	0.04364723163489512	0.14788525222396803	0.05579810714370798
25	PRUNED	0.8030610766564696	8.685614353818603e-05	1.1296869704167255e-06	0.08299179191750355	0.03050652204493849	0.11534034520349112	0.08912357343541175
26	COMPLETE	0.8544141428571429	0.00011792085881699154	5.036195394588872e-07	0.0808968386766987	0.030720487220515756	0.14905112344033108	0.06735069739320601
27	COMPLETE	0.8536901428571427	0.00014765636761173432	5.413098371475854e-07	0.07569746470073958	0.02561166848908583	0.14910335838264077	0.10671825769010425
28	COMPLETE	0.853438	0.00014489353739694899	5.201250453005748e-07	0.06610386251669748	0.02552325431898631	0.14892156458758987	0.1475984573512638
29	COMPLETE	0.8533888571428571	0.00014831201314253402	5.220414195299898e-07	0.059327812913695294	0.02585147124886024	0.12022287413018637	0.10684102319535564
