trial	state	mean_val_auc	lr_schedule	lr_min_ratio	label_smoothing	ema_decay
0	COMPLETE	0.8547454285714285	cosine	0.1904145064107466	0.03269299097981381	0.9986352071728489
1	COMPLETE	0.8552201428571429	constant	0.23376595011731197	0.057819765630061755	0.9985748959949806
2	COMPLETE	0.8549445714285715	constant	0.18520668416408986	0.05553579829755966	0.9981064797716533
3	COMPLETE	0.854239857142857	constant	0.2248929768321907	0.046689405056991026	0.9993048908121326
4	COMPLETE	0.8552804285714285	constant	0.16922190433793977	0.046831750577187324	0.9981772941931125
5	PRUNED	0.8204309523411512	constant	0.24170033755743758	0.0313108993050043	0.9986217195227861
6	COMPLETE	0.8549197142857144	cosine	0.16842254983248228	0.03410603693211891	0.9980281639383577
7	PRUNED	0.8075968305444576	constant	0.19254009953121354	0.05662488471087745	0.9990224860618695
8	PRUNED	0.8077027019497055	cosine	0.20464467938908973	0.00361352829775619	0.9989998997769224
9	PRUNED	0.8222502688576475	constant	0.119338944648228	0.018925701055451032	0.9985453054949116
10	PRUNED	0.8468988036531206	constant	0.24825607570888392	0.006122688644881684	0.9983131290254075
11	PRUNED	0.8266390565186139	cosine	0.13799374038096732	0.027978646371378375	0.9983664303876161
12	COMPLETE	0.8548707142857144	constant	0.198449438419791	0.008290977080916829	0.9982946956671833
13	COMPLETE	0.8550198571428572	cosine	0.1145651913689592	0.05027669444992823	0.998144049787862
14	PRUNED	0.8036600859230036	constant	0.24651416322855058	0.03629073118470276	0.9991086782246027
15	PRUNED	0.8285496174698962	constant	0.2306536711024287	0.050857817306260704	0.9983166917068286
16	COMPLETE	0.8552565714285715	constant	0.14219118573214357	0.04177375989937764	0.9981587304159945
17	COMPLETE	0.8551264285714285	constant	0.12266180286734421	0.0416246833919848	0.998122958262331
18	PRUNED	0.8311629695257517	constant	0.1711486102160458	0.036791588268199185	0.9981625174026264
19	PRUNED	0.8226514657617447	constant	0.13828121054271417	0.05703180439781476	0.998565326773168
20	PRUNED	0.808622111521595	cosine	0.10894713933803626	0.04776724700781513	0.998988154182489
21	PRUNED	0.8181087466497272	cosine	0.23572107867870798	0.05957935802678949	0.9987185124375128
22	PRUNED	0.8198639831051525	constant	0.15325364751657844	0.036179765951837015	0.9986463970563804
23	PRUNED	0.816235101385801	constant	0.24791907119033035	0.05528080533946601	0.9987860776522839
24	PRUNED	0.7856842357477586	constant	0.13104020863739263	0.044600017947202704	0.9994159547795322
25	PRUNED	0.7892030669274447	constant	0.11557518188880467	0.006510544479593584	0.9993662586415103
26	PRUNED	0.8203083643982325	constant	0.2008651992889381	0.05940299943952355	0.9986440999222993
27	COMPLETE	0.8550688571428572	constant	0.12273185287962017	0.05833407325710438	0.9980181750431756
28	PRUNED	0.8256924825730094	cosine	0.15244589488383833	0.052962149765948006	0.998436559731592
29	PRUNED	0.826078355984242	constant	0.18380509644760393	0.04509989590442864	0.9984165932999874
