trial	state	mean_val_auc	label_smoothing	ema_decay
0	COMPLETE	0.8547927142857142	0.051464405117819745	0.9985150873388327
1	COMPLETE	0.8553124285714286	0.05308290128214932	0.9983447589772312
2	COMPLETE	0.8553221428571429	0.047709643980167145	0.9984457795552864
3	COMPLETE	0.8544348571428572	0.04812761633788078	0.9986917246553206
4	COMPLETE	0.8550684285714285	0.06390988281503088	0.9981833231150722
5	COMPLETE	0.8553432857142856	0.058751751142479935	0.9983287701238482
6	PRUNED	0.8181087466497272	0.052041336832817975	0.9987255621410006
7	COMPLETE	0.8548412857142856	0.037131081745936614	0.9978870894685756
8	PRUNED	0.8201774181864785	0.03560655192320977	0.9986325500371104
9	PRUNED	0.8196675637875217	0.058344702528495516	0.9986699554994486
10	PRUNED	0.8212737444487165	0.06435855026698292	0.9985990781674435
11	PRUNED	0.8221423078851908	0.04884438086758796	0.9985804433706975
12	PRUNED	0.8252871065344947	0.038548232776068	0.9984398056086821
13	PRUNED	0.8170193856115189	0.03930059862227139	0.9987446427338786
14	COMPLETE	0.8550382857142859	0.050655449652502155	0.9982145403780779
15	COMPLETE	0.8549634285714285	0.04902973229023085	0.9978203244957701
16	COMPLETE	0.8550917142857143	0.05685637242989878	0.9978801928168035
17	COMPLETE	0.855283	0.04312504244213145	0.998118395077343
18	COMPLETE	0.8553311428571428	0.05618282452085001	0.9980968099718118
19	COMPLETE	0.8551837142857143	0.05739103667270012	0.9981091638674031
20	PRUNED	0.8544337830081966	0.06466030801050976	0.9978910323796132
21	PRUNED	0.8294968879379037	0.05896550091754017	0.9982666708437222
22	PRUNED	0.8290079292110353	0.04520731397193609	0.9982847372091389
23	PRUNED	0.8265909964728105	0.06000909293529672	0.998396825952857
24	PRUNED	0.854443534321838	0.05470040719496776	0.9981304555864045
25	PRUNED	0.8261939787031309	0.04482736372116752	0.9984094279013773
26	PRUNED	0.8266543800114787	0.05586998483585706	0.998402553775855
27	COMPLETE	0.8552310000000001	0.05051550230823308	0.998092230468623
28	PRUNED	0.8283859347052038	0.06302190949137466	0.9983059336333253
29	PRUNED	0.8301906242512385	0.03565748110318063	0.9982137067299554
