trial	state	mean_val_auc	lr	weight_decay	batch_size	grad_clip_max_norm	dropout	drop_path	mod_drop_p	head_dropout
0	RUNNING		8.558894657793098e-05	0.0001398196140899405	64	1.4688411695999841	0.175034884505077	0.08917730007820798	0.2890988281503088	0.1150324556477333
1	COMPLETE	0.8488323333333333	8.558894657793098e-05	0.0001398196140899405	64	1.4688411695999841	0.175034884505077	0.08917730007820798	0.2890988281503088	0.1150324556477333
2	COMPLETE	0.8498956666666667	0.00022136914688782397	3.860866271460548e-05	128	0.6306939495523111	0.008087358976130289	0.0832619845547938	0.23344702528495515	0.2610036444740457
3	COMPLETE	0.842418	0.0004598786090752841	0.0002497328610406061	128	1.4598815319912857	0.057341314963618564	0.0944668917049584	0.15655449652502149	0.12439858199715707
4	COMPLETE	0.8426006666666667	2.8149588426834904e-05	0.0002102330874348012	128	1.4264532456138155	0.24483828908896857	0.0616933996874757	0.2831244235543872	0.20454608973104502
5	COMPLETE	0.8484723333333334	4.081249443461284e-05	2.0468963963126692e-05	64	1.5059568044272391	0.08415302442953637	0.01289262976548533	0.09462850527725515	0.10911323128278679
6	COMPLETE	0.8512276666666666	9.305660617049116e-05	2.0692098656538357e-05	64	0.7419642768274943	0.26124333018615936	0.025329160253978213	0.13989323185689187	0.07332767760048083
7	COMPLETE	0.843556	1.8624497078020377e-05	2.1435095535798564e-06	64	1.0530877559914462	0.32839729193917405	0.009710127579306128	0.25138347224964114	0.02882952236818892
8	COMPLETE	0.8432653333333334	0.0004560110236961822	2.5465581928924347e-05	64	0.558781688381481	0.11312278503056383	0.01201965612131689	0.08884205925664347	0.035618315686273216
9	COMPLETE	0.8446223333333333	3.469316196903146e-05	1.7489966737814595e-05	128	0.8980842364091681	0.2092992213866799	0.009394051075844168	0.1727839486668538	0.27878885927286423
10	COMPLETE	0.8452426666666666	3.477275451127746e-05	0.00010051506084660803	128	0.7747870430106752	0.23460517392403327	0.002010754618749355	0.2486820087652089	0.0014086428577641196
11	COMPLETE	0.8461866666666666	0.00010780528201606873	2.918076334960029e-06	256	1.8944605325417458	0.37971205757620874	0.04013676841969273	0.01781208202328713	0.18929152247574668
12	COMPLETE	0.8488296666666667	0.00020759325912683018	0.0009588654115413721	256	0.558234394064608	0.3033223510183095	0.04030581561800141	0.20371122696994054	0.29849635107905154
13	COMPLETE	0.850244	0.00016672254501927709	4.94609040666025e-06	64	0.7947440514780774	0.0024039386649196623	0.07201738496971986	0.09714753876544074	0.23581436999982788
14	COMPLETE	0.8493226666666667	0.00015222827446469028	5.714090024536249e-06	64	1.1064494048025448	0.15278458751723828	0.0651313875349254	0.10164106762711216	0.2212776675391002
15	COMPLETE	0.839468	1.0869192034435568e-05	5.197460511140779e-06	64	0.8378161000273708	0.2828002787130392	0.029530202537691903	0.03557953459889697	0.06498764372163118
16	COMPLETE	0.848941	6.368532324879756e-05	1.2290587175036723e-06	64	1.1767465880075552	0.014406868060085315	0.0725774797153795	0.11756128972943938	0.1722837688054035
17	COMPLETE	0.8488920000000001	0.0002626650241755202	8.898028944176153e-06	256	0.917910063143887	0.3971359755884903	0.0507328974563043	0.05152868353008948	0.23552353464956421
18	COMPLETE	0.8509549999999999	5.958668652646761e-05	1.1255754907159148e-05	64	0.7308238299106273	0.133906427190669	0.02555191591337471	0.14140941081544492	0.07579412161952388
19	COMPLETE	0.8494293333333333	5.1145374899855815e-05	6.05998387714611e-05	64	1.9790022506656786	0.1584196385281388	0.024323064211696676	0.1865492024270159	0.07007180104200073
20	COMPLETE	0.8514476666666667	0.00010489456615689605	1.325645576672484e-05	64	0.6923779237470489	0.12016461375867138	0.026074718865245178	0.13159094822215311	0.08043085543893133
21	COMPLETE	0.8481746666666666	0.00011533435100323612	6.56880896638999e-05	256	1.0019368081441096	0.19315800103435993	0.03700504735240906	0.06180069125792041	0.1504312770158498
22	COMPLETE	0.8510273333333332	7.294923118511155e-05	1.207943346290794e-05	64	0.6951341196898569	0.12088646734286562	0.02369047830960093	0.1310227384109078	0.08203384901389865
23	COMPLETE	0.8519220000000001	9.649127079877832e-05	1.0827356781341619e-05	64	0.5045115851064841	0.09182840260782255	0.020471142148707065	0.13602768404928114	0.08533029929644995
24	COMPLETE	0.850321	0.00010771800639802266	3.5216001421383e-05	64	0.5251249089620191	0.060028582444765596	0.05230635019274773	0.1510722451036549	0.041580202677365695
25	COMPLETE	0.8456483333333334	0.0003030252968363797	8.288774601735595e-06	64	0.6554717870114471	0.08706557043549981	0.01768699986091901	0.18300872602041135	0.09927584557381433
26	COMPLETE	0.8496846666666666	0.00013194378268115484	3.1258733491481967e-06	64	0.5077613722519395	0.2542502623557012	0.03432000917149655	0.21588766897408868	0.14305276757665863
27	COMPLETE	0.8507636666666668	8.909648673062785e-05	1.5955348460803963e-05	64	0.9665020837637068	0.20709932387685892	0.0029068812869944283	0.12445108195120519	0.05121379285901691
28	COMPLETE	0.8498256666666667	5.0229415676582086e-05	5.426761637177583e-05	64	1.6821696799907184	0.0465964775883662	0.020403875864975107	0.06358270189332436	0.001332191902314761
29	COMPLETE	0.8496763333333334	0.00016831925537270811	2.7116364730723694e-05	64	0.6468966846830697	0.3399829159349676	0.033253877887332285	0.16275979044862368	0.09140169691052956
30	COMPLETE	0.8451873333333334	7.946985724984576e-05	1.0418107700924367e-06	256	1.2977047800952999	0.16596365317736125	0.04216180251275959	0.0777308583732377	0.12511059656648732
31	COMPLETE	0.851004	8.635522683543586e-05	7.5691856270674195e-06	64	0.8728459259623312	0.09109416087542763	0.046880411936356996	0.11647994605583638	0.15125147093231514
32	COMPLETE	0.8514269999999998	7.143354728262314e-05	1.3087067845171083e-05	64	0.6979219919987023	0.12410113092882087	0.01972207699288162	0.13581627065268242	0.08338616031886924
33	COMPLETE	0.8509026666666667	9.381559472131065e-05	1.3101460153153764e-05	64	0.6313543276939745	0.13599333448090378	0.015643317073695144	0.13874929418263077	0.05894860936647277
34	COMPLETE	0.8503756666666668	0.00012954925202182912	3.246526269162562e-05	64	0.7538873552160517	0.18928413719852027	0.029354273223446224	0.19990035791439434	0.10439610078106071
35	COMPLETE	0.850997	6.610448153210262e-05	1.8217254055953153e-05	128	0.599380317489036	0.10541798562720088	0.019763283315606735	0.15979022616427274	0.12454957713165786
