trial	state	mean_val_auc	d_model	d_ffn	depth	lr	weight_decay	dropout	drop_path	mod_drop_p	head_dropout
0	COMPLETE	0.8466142	768	3072	5	0.00013318455298359403	8.968589810005867e-06	0.038344151882577775	0.03958625190413323	0.07933423796293566	0.08520668416408984
1	COMPLETE	0.8470791999999999	512	2048	7	0.00014651753910158315	5.478974355024591e-06	0.04614793622529319	0.039026458814322776	0.017741163880339982	0.09598815319912857
2	COMPLETE	0.850877	768	3072	5	9.336453170850837e-05	5.289517987346845e-07	0.06176354970758771	0.03060478613612107	0.09254009953121353	0.1415622117771936
3	COMPLETE	0.8530376000000001	512	1536	6	6.300108020435023e-05	7.357105516899194e-07	0.03154283509241839	0.01818553854713113	0.08552951556268194	0.06579022701934804
4	COMPLETE	0.8519479999999999	512	2048	5	6.540194280144808e-05	8.049968872673997e-07	0.011037514116430515	0.032816479473263674	0.02072744270229207	0.029487354252008022
5	PRUNED	0.8483106545638934	768	3072	5	0.0001462188891916011	3.061203267836412e-06	0.07392635793983017	0.001959389612716034	0.04242104438646144	0.018029484181975336
6	PRUNED	0.8469642767589977	512	3072	6	6.692570753826516e-05	2.397349855292195e-06	0.009394051075844168	0.028797324777808966	0.13939442963643212	0.047785342867698546
7	PRUNED	0.8096585368571796	512	1024	4	0.00012430108260533176	5.070828933668704e-07	0.06778165367962301	0.013500398659608243	0.11027910331838923	0.14432828176761572
8	PRUNED	0.8485983183163103	768	3072	5	0.0001267096152367199	4.064559850147747e-06	0.029743695085513368	0.040689890985123864	0.0594758611270477	0.13216547956667424
9	COMPLETE	0.8518650000000001	768	3072	6	7.965265509991098e-05	3.075429423623557e-06	0.0019193198309333526	0.015078740833727467	0.09902603062390275	0.04351164108156661
10	PRUNED	0.8333270646317067	512	3072	6	0.0001024769046898732	3.5267601009852437e-06	0.043141843543397396	0.044827329792553154	0.055134280507184476	0.06537973878984402
11	PRUNED	0.8150147941358385	512	2048	7	5.8921659083974545e-05	6.73640275795976e-06	0.016249293467637482	0.03077797821419221	0.018572997427416225	0.12720123439833517
12	PRUNED	0.8194767166491144	512	2048	6	0.00012952077271976715	9.292931668338601e-06	0.0855803342392611	0.0005857042092500986	0.05399670967175458	0.1094985843636087
13	PRUNED	0.8188164134111209	768	3072	4	7.307092945271788e-05	8.061792309928552e-06	0.07044144019235328	0.0015919464765653925	0.024704123474686913	0.09322176022496452
14	PRUNED	0.8035430701593086	512	1024	6	7.043776900488754e-05	1.6484187705155204e-06	0.020984374897512217	0.009309650294016808	0.14165585849759002	0.11093261925739313
15	PRUNED	0.8098382396371396	512	2048	6	5.1425144047538833e-05	6.937550715051028e-07	0.018469066895849068	0.03362173357925166	0.012930964163278505	0.07359777182417775
16	PRUNED	0.7960735639101096	512	1536	5	5.47551972860361e-05	6.937051643255654e-07	0.0652452886247995	0.029159886931945045	0.07131580934375278	0.0444773823706473
17	PRUNED	0.8095665958999905	512	1024	5	9.050448103067731e-05	5.692492310417647e-07	0.012279780916525717	0.02982513526823557	0.008144436131032058	0.005927170886355446
18	PRUNED	0.8010536990911776	512	1536	6	5.437871557889043e-05	6.425838129868908e-07	0.0129795185510132	0.029685158925480126	0.12699786902982935	0.07406510417493485
19	PRUNED	0.8063012988749769	512	2048	4	6.945883837346097e-05	1.1321735445934056e-06	0.02413127567837879	0.017046443520294902	0.026940257422083377	0.010084190017277082
20	PRUNED	0.8165192825262031	768	1536	6	6.909463029157105e-05	7.487383990642991e-07	0.03626945129351784	0.008833420125796894	0.08735444323358338	0.09312301286776847
21	PRUNED	0.8196954246836397	768	3072	6	0.00010988062742084225	3.276615886061819e-06	0.009866572146916238	0.015456608764708009	0.07127013579652175	0.03738171641634256
22	PRUNED	0.8165262477502326	768	2048	6	6.750388497616826e-05	4.217349854527374e-06	0.01579916019187751	0.014303923831267261	0.08614396574244465	0.06495319895366922
23	PRUNED	0.8086931568066955	512	3072	5	7.975597816665886e-05	6.579123437309044e-07	0.006341582472926897	0.005032210634035007	0.08018535834807754	0.052291414644949234
24	PRUNED	0.8199406005694767	768	3072	6	5.8962654035084834e-05	4.3669293042621805e-06	0.02046830819248108	0.024712961271208048	0.08203718688907556	0.031042423078918094
25	PRUNED	0.8181157118737566	768	1536	6	6.421981475508614e-05	9.942576806105962e-07	0.02616468735458105	0.035916426575746715	0.03365640847813643	0.03569502450693374
26	PRUNED	0.8108133710012648	512	1536	7	6.866363117996466e-05	1.4474254300434075e-06	0.018424318873962623	0.008026445631425672	0.06791318745384449	0.062770281888888
27	PRUNED	0.8172081431827174	768	1536	6	7.634110829694106e-05	3.35110062700158e-06	0.0030983312379973815	0.015988145502298077	0.12445154765223881	0.019510782654016203
28	PRUNED	0.8010467338671481	512	1536	5	7.296351398841658e-05	7.424362021492735e-07	0.00025744997485668657	0.029207694336463724	0.038647817318403124	0.05596270523871249
29	COMPLETE	0.8518899999999998	768	3072	5	7.323621942445307e-05	2.7871580674595105e-06	0.0012501272666044583	0.000937669389141315	0.1229528804684706	0.04340052510904339
