trial	state	mean_val_auc	lr	weight_decay	dropout	drop_path	mod_drop_p	head_dropout
0	COMPLETE	0.8535496	9.13735697146428e-05	4.2604240005950226e-06	0.06027633760716439	0.027244159149844845	0.0635482199008357	0.09688411695999842
1	COMPLETE	0.8526161999999999	8.086343087143203e-05	7.230917851781507e-06	0.09636627605010294	0.019172075941288887	0.11875875571239969	0.07933423796293566
2	COMPLETE	0.8532630000000001	9.332460019248522e-05	8.00200824711684e-06	0.007103605819788694	0.0043564649850770356	0.0030327596160488576	0.1248929768321907
3	COMPLETE	0.8531397999999999	0.0001175560891942954	6.774572670605335e-06	0.0978618342232764	0.039957928210836186	0.06922190433793977	0.11707937644296831
4	COMPLETE	0.8516358	5.693787397257815e-05	3.400372129740378e-06	0.014335328740904641	0.0472334458524792	0.07827724826251074	0.06219929099857854
5	PRUNED	0.8012494218864056	6.686442433478946e-05	5.084769352938288e-06	0.04561503322165486	0.028421697443432425	0.0028184700654532713	0.09264532456138155
6	COMPLETE	0.8540428	9.795212983440259e-05	3.174092943781572e-06	0.09437480785146242	0.03409101495517417	0.0539261850860679	0.06555479306990121
7	PRUNED	0.8502894747106646	0.00010760307336936319	5.988597841382304e-07	0.06667667154456677	0.03353189348090797	0.03155738416107613	0.019338944648227996
8	PRUNED	0.7994628419228476	7.070784071443898e-05	1.4865127107234922e-06	0.05701967704178797	0.021930075673116018	0.1482560757088839	0.01530672161220421
9	PRUNED	0.798153379805308	6.289694393839909e-05	8.106595918180279e-07	0.06531083254653984	0.012664580126989107	0.06994661592844593	0.03666383880024041
10	PRUNED	0.7972465076366717	5.954122581963407e-05	6.959393188729556e-07	0.06563295894652735	0.00690914756743069	0.029487354252008022	0.05530877559914461
11	COMPLETE	0.8535826	0.0001232206014464186	6.688083348704398e-07	0.0837944907498804	0.004804920394698153	0.14646891975200935	0.07029768024715523
12	COMPLETE	0.8522858	0.0001462188891916011	3.061203267836412e-06	0.07392635793983017	0.001959389612716034	0.04242104438646144	0.018029484181975336
13	PRUNED	0.8013044471562384	6.922529050592149e-05	7.135728670126613e-07	0.0317983179393976	0.0207131497257335	0.009622124452317653	0.10387081790550297
14	PRUNED	0.8028312242634972	9.317675920080193e-05	1.1072602074396088e-06	0.05232480534666997	0.004697025537922084	0.0863919743334269	0.13939442963643212
15	COMPLETE	0.8528588000000001	0.0001352329965116146	5.684880348278237e-07	0.07894004887550486	0.003027144443589188	0.14777636661195245	0.09382428142696811
16	COMPLETE	0.852995	0.00014819063024023495	1.4810849432588073e-06	0.06330023643557632	0.0004494683887781353	0.13834117016283745	0.007142582705188777
17	COMPLETE	0.8536902000000002	0.00014125691050139832	8.250220873244567e-07	0.09613205147994426	0.028956614029519562	0.1432863355279972	0.07007079481922796
18	COMPLETE	0.8543588	0.00012932624898427526	9.069666094648757e-07	0.0983036524859103	0.03764506511065256	0.13292404670516145	0.059710696812390905
19	PRUNED	0.8222864880226007	0.00011209249864585777	6.63718390630735e-07	0.0710177566846221	0.04486354128053368	0.1309551335830659	0.00042862260413883274
20	PRUNED	0.8010815599872955	7.350477996171878e-05	2.971584311836772e-06	0.09500555300712644	0.04790774597817395	0.06817500032071876	0.023600915623309314
21	COMPLETE	0.8529716	0.00012315979779566394	1.5833619900075449e-06	0.08209710225601316	0.022584824170010596	0.1174409499545873	0.07915674950657284
22	COMPLETE	0.8535908000000001	0.0001394319748620165	7.515455083162497e-07	0.09477379054154765	0.04922265003111737	0.14301838658287808	0.09637190191256936
23	PRUNED	0.8425385734106752	0.00012197699532150796	2.312292954262526e-06	0.09728501363622424	0.036338255307164086	0.08089493282871513	0.05380734879835056
24	PRUNED	0.8051854699854566	9.55536028675781e-05	1.3437065904076654e-06	0.0924880811502798	0.03821699480208543	0.11916268374132624	0.08027499628904347
25	COMPLETE	0.8548036	0.00014322324507824063	6.965383753391292e-07	0.04655775335098639	0.029005572216032956	0.14931417351485624	0.06264957245705498
26	PRUNED	0.8050029811158845	0.00010732312986539512	6.787887090715472e-07	0.024765354852416568	0.030243065468293685	0.14520916243048804	0.08133164541475742
27	COMPLETE	0.8544798	0.00014623885943785701	5.119631958160247e-07	0.05733158677236161	0.02568688547195503	0.11930299953193696	0.05242278328602776
28	COMPLETE	0.8541960000000002	0.0001356863043984061	5.277921089982081e-07	0.04793866777879522	0.027766870101235356	0.09836718021519608	0.08075110945282299
29	PRUNED	0.8079248925962454	0.00014896221770867898	1.0454920428303779e-06	0.03511230612724368	0.020098415385914073	0.14230887768509187	0.03346236770635836
