iter	timestamp	commit	combo	split_mode	n_seeds	mean_val_auc	std_val_auc	mean_val_mcc	std_val_mcc	mean_val_loss	wall_time_min	keep	note
148	2026-05-20T07:06:28	b14441d4d1	maccs+avalon+scage2+mole	scaffold	10	0.853729	0.00264	0.541932	0.007801	0.478855	13.96	True	AdamW wd 0.005 -> 0.003 (sweep down post proj_scale ablation)
149	2026-05-20T07:34:35	b926339c36	maccs+avalon+scage2+mole	scaffold	10	0.853343	0.002546	0.541252	0.007841	0.471773	13.5	False	AdamW wd 0.003 -> 0.002 (continue sweep down)
150	2026-05-20T07:49:04	a5f12b880e	maccs+avalon+scage2+mole	scaffold	10	0.853553	0.002577	0.538065	0.010201	0.474961	13.9	False	AdamW wd 0.003 -> 0.004 (fine sweep up)
151	2026-05-20T08:03:38	cf1303583f	maccs+avalon+scage2+mole	scaffold	10	0.853025	0.003146	0.53744	0.005386	0.470624	14.03	False	mod_drop_p 0.10 -> 0.13 (sweep up post proj_scale+wd ablations)
152	2026-05-20T08:17:27	4d5facba5d	maccs+avalon+scage2+mole	scaffold	10	0.853282	0.003042	0.540024	0.007522	0.476099	13.33	False	DROP_V_PATH 0.08 -> 0.09 (sweep up post proj_scale+wd ablations)
153	2026-05-20T08:30:08	1ac6a3f63e	maccs+avalon+scage2+mole	scaffold	10	0.853658	0.002654	0.539319	0.00989	0.476962	12.21	False	EMA decay 0.9995 -> 0.9993 (sweep down post ablations)
154	2026-05-20T08:44:00	6d8046c6a8	maccs+avalon+scage2+mole	scaffold	10	0.852699	0.002581	0.539236	0.008243	0.493739	13.34	False	EMA warmup 1 -> 2 epochs (sweep up post ablations)
155	2026-05-20T08:57:34	d0bac28146	maccs+avalon+scage2+mole	scaffold	10	0.853584	0.002558	0.538702	0.007435	0.484725	13.01	False	DROP_V_PATH 0.08 -> 0.07 (sweep down post ablations)
156	2026-05-20T09:11:32	7f9b1becbf	maccs+avalon+scage2+mole	scaffold	10	0.852992	0.002733	0.540119	0.009178	0.46549	13.29	False	mod_drop_p 0.10 -> 0.11 (fine sweep up post ablations)
157	2026-05-20T09:25:20	515f76f826	maccs+avalon+scage2+mole	scaffold	10	0.853196	0.002771	0.539133	0.009222	0.46223	13.18	False	R-Drop alpha peak 1.0 -> 1.1 post ablations
158	2026-05-20T09:39:46	7b586732bb	maccs+avalon+scage2+mole	scaffold	10	0.853494	0.002778	0.540387	0.00752	0.48004	13.89	False	R-Drop warmup 5 -> 6 epochs (fine sweep up post ablations)
159	2026-05-20T09:53:34	df1f0d436c	maccs+avalon+scage2+mole	scaffold	10	0.853135	0.00257	0.538759	0.010744	0.467277	13.17	False	R-Drop warmup 5 -> 4 epochs (fine sweep down)
160	2026-05-20T11:58:53	a270d20ac1	maccs+avalon+scage2+mole	scaffold	10	0.853067	0.002813	0.544121	0.008971	0.553675	13.0	False	R-Drop symmetric KL -> JSD (KL to mixture)
161	2026-05-20T12:13:18	83ee9b804d	maccs+avalon+scage2+mole	scaffold	10	0.853366	0.00286	0.534114	0.007179	0.486064	13.64	False	DROP_V_PATH per-sample -> per-token (B, seq_len, 1)
162	2026-05-20T12:27:45	43f17764ff	maccs+avalon+scage2+mole	scaffold	10	0.847916	0.002607	0.534722	0.009297	0.510057	13.43	False	mod_drop only on fp modalities (preserve embed tokens)
163	2026-05-20T12:43:41	e24183345d	maccs+avalon+scage2+mole	scaffold	10	0.85268	0.003016	0.535432	0.012303	0.479079	14.9	False	gradient noise injection std=1e-4 before AdamW step
164	2026-05-20T12:58:25	c1d8417d30	maccs+avalon+scage2+mole	scaffold	10	0.853052	0.002751	0.53897	0.0086	0.470968	13.42	False	post-SGU FFN dropout p=0.05 inside gMLPBlock
165	2026-05-20T13:12:41	3d78493f39	maccs+avalon+scage2+mole	scaffold	10	0.850578	0.003159	0.533775	0.01001	0.491876	13.47	False	warmup(3) + cosine to lr*0.1 on current best stack
166	2026-05-20T13:27:14	4492e3286e	maccs+avalon+scage2+mole	scaffold	10	0.852791	0.002286	0.536713	0.009672	0.493949	13.34	False	pre-pool per-token LayerNorm (move LN from after pool)
167	2026-05-20T13:42:33	bd6c1024b2	maccs+avalon+scage2+mole	scaffold	10	0.853694	0.002633	0.542228	0.00848	0.478855	13.96	False	top-2 EMA snapshot averaging at end of training
168	2026-05-20T13:57:16	4e222e985b	maccs+avalon+scage2+mole	scaffold	10	0.849558	0.002474	0.536559	0.01045	0.49654	13.77	False	2-layer MLP head retry on iter148 stack
169	2026-05-20T14:11:41	17ff582c1a	maccs+avalon+scage2+mole	scaffold	10	0.850888	0.002279	0.545143	0.012902	0.579063	13.4	False	move mod_drop from pre-backbone to post-backbone
170	2026-05-20T14:25:53	5d9e604183	maccs+avalon+scage2+mole	scaffold	10	0.852413	0.002724	0.540366	0.005775	0.468262	13.52	False	anneal mod_drop_p 0.15 -> 0.05 across epochs
171	2026-05-20T14:40:56	c18762f4fd	maccs+avalon+scage2+mole	scaffold	10	0.85304	0.002412	0.539192	0.009222	0.467318	13.95	False	alpha init biased toward embed tokens
172	2026-05-20T14:55:48	2c1e9e0fe7	maccs+avalon+scage2+mole	scaffold	10	0.853814	0.002666	0.538697	0.005975	0.476054	13.91	True	AdamW split wd (no-decay for norms/biases/scalars)
173	2026-05-20T15:20:27	5d27916efb	maccs+avalon+scage2+mole	scaffold	10	0.853384	0.002597	0.53769	0.009222	0.468324	10.82	False	split-wd decay rate 0.003 -> 0.005 (sweep up)
174	2026-05-20T15:31:38	e367602a58	maccs+avalon+scage2+mole	scaffold	10	0.853418	0.002702	0.537729	0.007535	0.478471	10.76	False	split-wd decay rate 0.003 -> 0.002 (sweep down)
175	2026-05-20T15:43:03	df596b2c59	maccs+avalon+scage2+mole	scaffold	10	0.852989	0.002722	0.540579	0.00972	0.468579	11.0	False	mod_drop_p 0.10 -> 0.12 on split-wd stack
176	2026-05-20T15:54:26	af4a2b92e2	maccs+avalon+scage2+mole	scaffold	10	0.853004	0.002966	0.537151	0.008218	0.481909	10.81	False	mod_drop_p 0.10 -> 0.08 on split-wd stack
177	2026-05-20T16:05:58	8a3e694441	maccs+avalon+scage2+mole	scaffold	10	0.853106	0.003086	0.536493	0.005372	0.476239	10.9	False	DROP_V_PATH 0.08 -> 0.10 on split-wd stack
178	2026-05-20T16:17:13	146a9e4505	maccs+avalon+scage2+mole	scaffold	10	0.852953	0.002529	0.537184	0.008303	0.466682	10.79	False	head dropout 0.10 -> 0.15 on split-wd stack
179	2026-05-20T16:28:39	0bb7fcc0cf	maccs+avalon+scage2+mole	scaffold	10	0.853639	0.002643	0.536594	0.011071	0.468195	11.07	False	R-Drop alpha peak 1.0 -> 1.2 on split-wd stack
180	2026-05-20T16:40:01	e5f37c2e72	maccs+avalon+scage2+mole	scaffold	10	0.853367	0.002879	0.541514	0.009802	0.481095	11.0	False	R-Drop alpha peak 1.0 -> 0.8 on split-wd stack
181	2026-05-20T16:51:35	f657356cad	maccs+avalon+scage2+mole	scaffold	10	0.853645	0.002412	0.537378	0.004203	0.469362	11.05	False	EMA decay 0.9995 -> 0.9996 on split-wd stack
182	2026-05-20T17:03:02	269eda3ae6	maccs+avalon+scage2+mole	scaffold	10	0.853093	0.003071	0.541203	0.007779	0.475322	10.9	False	AdamW betas (0.9, 0.95) on split-wd stack
183	2026-05-20T17:15:57	4d8f640efd	maccs+avalon+scage2+mole	scaffold	10	0.853064	0.00281	0.53655	0.010294	0.474631	12.54	False	AdamW betas (0.9, 0.99) on split-wd stack
184	2026-05-20T17:31:33	74ef379b91	maccs+avalon+scage2+mole	scaffold	10	0.853433	0.002652	0.540155	0.006961	0.479937	15.19	False	ablate per-feature skip gate -> scalar on split-wd stack
185	2026-05-20T17:47:35	b31cbc6f9b	maccs+avalon+scage2+mole	scaffold	10	0.853526	0.002562	0.538763	0.008683	0.473424	15.58	False	AdamW eps 1e-8 -> 1e-7 on split-wd stack
186	2026-05-20T18:03:21	e3548385db	maccs+avalon+scage2+mole	scaffold	10	0.849068	0.002574	0.528568	0.006595	0.489167	14.93	False	SGU spatial_proj weight init std=0.02 (near-identity start)
187	2026-05-20T18:19:04	38d7c57488	maccs+avalon+scage2+mole	scaffold	10	0.853454	0.003253	0.537575	0.005663	0.489417	15.18	False	gradient clipping max_norm=2.0 on split-wd stack
188	2026-05-20T18:31:23	4d4eb271b1	maccs+avalon+scage2+mole	scaffold	10	0.851607	0.003048	0.536338	0.004282	0.478283	11.74	False	EMA warmup 1 -> 0 epochs on split-wd stack
189	2026-05-20T18:41:57	b1532fc06e	maccs+avalon+scage2+mole	scaffold	10	0.851466	0.001868	0.537941	0.007157	0.487748	9.96	False	SGU n_heads 2 -> 1 on split-wd stack (ablate multi-head)
190	2026-05-20T18:52:47	973a7fb027	maccs+avalon+scage2+mole	scaffold	10	0.850785	0.003014	0.534898	0.006593	0.474907	9.97	False	linearly ramped stochastic depth on gMLPBlocks (max p=0.05)
