combo	model	timestamp	n_seeds	val_mean_roc_auc	val_std_roc_auc	val_mean_mcc	val_std_mcc	hold_internal_ens_roc_auc	hold_external_ens_roc_auc	hold_nn03_ens_roc_auc	hold_nn05_ens_roc_auc	hold_total_ens_roc_auc	hold_internal_ens_mcc	hold_external_ens_mcc	hold_nn03_ens_mcc	hold_nn05_ens_mcc	hold_total_ens_mcc	hold_internal_ens_f1	hold_external_ens_f1	hold_nn03_ens_f1	hold_nn05_ens_f1	hold_total_ens_f1	hold_internal_ens_acc	hold_external_ens_acc	hold_nn03_ens_acc	hold_nn05_ens_acc	hold_total_ens_acc	wall_time_min
maccs+avalon+scage2+mole	mlp2	2026-05-17T19:27:48	10	0.802138	0.005631	0.439742	0.012449	0.901163	0.834234	0.821429	0.817319	0.851105	0.727373	0.549055	0.680301	0.518524	0.58299	0.939929	0.889093	0.918033	0.911439	0.899563	0.905028	0.829337	0.871795	0.854103	0.844595	0.59
maccs+avalon+scage2+mole	mlp3	2026-05-17T19:28:25	10	0.804321	0.008486	0.445846	0.014352	0.901676	0.838487	0.834416	0.819691	0.854532	0.711919	0.563415	0.746203	0.536591	0.591586	0.935714	0.890335	0.933333	0.912477	0.899705	0.899441	0.833568	0.897436	0.857143	0.846847	0.61
maccs+avalon+scage2+mole	mlp4	2026-05-17T19:29:18	10	0.802527	0.007083	0.432573	0.013906	0.903215	0.836699	0.824675	0.817871	0.853498	0.744812	0.574101	0.680301	0.542535	0.606267	0.943662	0.893813	0.918033	0.914815	0.90417	0.910615	0.8378	0.871795	0.860182	0.852477	0.89
maccs+avalon+scage2+mole	xgboost	2026-05-17T19:30:49	10	0.802571	0.002894	0.459629	0.011354	0.880643	0.864637	0.873377	0.850303	0.869506	0.675698	0.618235	0.522374	0.592771	0.629201	0.929577	0.903346	0.885246	0.924494	0.908824	0.888268	0.853315	0.820513	0.87538	0.86036	1.51
maccs+avalon+scage2+mole	lightgbm	2026-05-17T19:31:37	10	0.812118	0.00491	0.468529	0.015638	0.88697	0.861051	0.88961	0.848373	0.868428	0.710255	0.614014	0.680301	0.569585	0.632183	0.93662	0.903047	0.918033	0.921101	0.910022	0.899441	0.851904	0.871795	0.869301	0.861486	0.81
maccs+avalon+scage2+mole	tabpfn	2026-05-24T21:38:18	10	0.832438	0.002906	0.492688	0.016155				0.843464	0.869946				0.616931	0.630227				0.927644	0.908148				0.881459	0.86036	48.48
